"",BBDA1.M.DE.N.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:47,
2008-01,12473230,
2008-02,11831913,
2008-03,11479153,
2008-04,11953585,
2008-05,10920590,
2008-06,12442851,
2008-07,12798645,
2008-08,11421444,
2008-09,11999417,
2008-10,12486340,
2008-11,10583093,
2008-12,8805007,
2009-01,9624938,
2009-02,9966780,
2009-03,11038998,
2009-04,10491498,
2009-05,9458570,
2009-06,10274731,
2009-07,11128527,
2009-08,9377312,
2009-09,10593636,
2009-10,10905807,
2009-11,10717528,
2009-12,9647051,
2010-01,10594781,
2010-02,10845338,
2010-03,12874022,
2010-04,11690725,
2010-05,11753286,
2010-06,12526920,
2010-07,12386867,
2010-08,11829910,
2010-09,12285866,
2010-10,12037551,
2010-11,11883880,
2010-12,11648067,
2011-01,12371362,
2011-02,12794590,
2011-03,14277639,
2011-04,12562187,
2011-05,13361314,
2011-06,12920262,
2011-07,12328038,
2011-08,12623402,
2011-09,13225729,
2011-10,12301628,
2011-11,12799090,
2011-12,11613362,
2012-01,13742291,
2012-02,13092570,
2012-03,14355995,
2012-04,12856702,
2012-05,13854455,
2012-06,13726013,
2012-07,13734579,
2012-08,13670104,
2012-09,13691685,
2012-10,14342157,
2012-11,13650010,
2012-12,11362467,
2013-01,14558154,
2013-02,13524276,
2013-03,13792493,
2013-04,14185342,
2013-05,13379179,
2013-06,13461826,
2013-07,14093125,
2013-08,12851281,
2013-09,13466423,
2013-10,14794169,
2013-11,13912893,
2013-12,11549996,
2014-01,15039006,
2014-02,13869800,
2014-03,14626439,
2014-04,14167514,
2014-05,14347888,
2014-06,13855711,
2014-07,14856478,
2014-08,14012407,
2014-09,14810832,
2014-10,15069259,
2014-11,14320303,
2014-12,13163769,
