"",BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:19,
1991-01,1270.682,
1991-04,609.245,
1991-07,-542.114,
1991-10,-8.495,
1992-01,1558.534,
1992-04,-139.287,
1992-07,-924.234,
1992-10,659.147,
1993-01,1163.968,
1993-04,668.769,
1993-07,817.114,
1993-10,1012.021,
1994-01,749.970,
1994-04,765.494,
1994-07,1051.108,
1994-10,984.561,
1995-01,1125.255,
1995-04,400.719,
1995-07,1569.706,
1995-10,-622.818,
1996-01,3497.821,
1996-04,1091.742,
1996-07,1730.343,
1996-10,-701.688,
1997-01,4426.678,
1997-04,4382.996,
1997-07,5339.276,
1997-10,-627.104,
1998-01,5896.380,
1998-04,9053.545,
1998-07,964.912,
1998-10,-4551.369,
1999-01,4247.536,
1999-04,5525.709,
1999-07,3548.317,
1999-10,5036.480,
2000-01,12439.109,
2000-04,7841.247,
2000-07,6060.385,
2000-10,-1774.681,
2001-01,6239.819,
2001-04,9078.057,
2001-07,-3277.926,
2001-10,16016.182,
2002-01,-1211.882,
2002-04,1260.303,
2002-07,-286.111,
2002-10,3039.535,
2003-01,-2372.784,
2003-04,9204.644,
2003-07,-2770.904,
2003-10,2671.522,
2004-01,3271.364,
2004-04,1418.266,
2004-07,-144.749,
2004-10,2179.809,
2005-01,6145.284,
2005-04,-1114.939,
2005-07,4381.363,
2005-10,9508.928,
2006-01,6635.463,
2006-04,1319.612,
2006-07,5277.406,
2006-10,7217.792,
2007-01,15270.636,
2007-04,10697.586,
2007-07,10366.646,
2007-10,14113.622,
2008-01,1193.066,
2008-04,-11426.672,
2008-07,5234.187,
2008-10,-7288.825,
2009-01,1686.931,
2009-04,5250.299,
2009-07,-3535.886,
2009-10,-1996.851,
2010-01,-5938.202,
2010-04,-3985.377,
2010-07,-1187.100,
2010-10,22983.452,
2011-01,-1783.488,
2011-04,-1496.117,
2011-07,-2854.948,
2011-10,961.991,
2012-01,-4565.618,
2012-04,-5229.257,
2012-07,2543.429,
2012-10,6091.500,
2013-01,6102.360,
2013-04,3736.862,
2013-07,9753.615,
2013-10,1759.621,
2014-01,3942.052,Provisional value
2014-04,5982.888,Provisional value
2014-07,6512.158,Provisional value
2014-10,9302.624,Provisional value
