"",BBK01.OELI08J,BBK01.OELI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:11,
2002-01,0.657,
2002-04,0.654,
2002-07,0.653,
2002-10,0.697,
2003-01,0.732,
2003-04,0.709,
2003-07,0.726,
2003-10,0.747,
2004-01,0.743,
2004-04,0.740,
2004-07,0.729,
2004-10,0.767,
2005-01,0.728,
2005-04,0.736,
2005-07,0.727,
2005-10,0.752,
2006-01,0.766,
2006-04,0.761,
2006-07,0.771,
2006-10,0.778,
2007-01,0.771,
2007-04,0.766,
2007-07,0.731,
2007-10,0.751,
2008-01,0.737,
2008-04,0.732,
2008-07,0.722,
2008-10,0.761,
2009-01,0.769,
2009-04,0.748,
2009-07,0.669,
2009-10,0.696,
2010-01,0.693,
2010-04,0.705,
2010-07,0.730,
2010-10,0.730,
2011-01,0.741,
2011-04,0.760,
2011-07,0.763,
2011-10,0.779,
2012-01,0.781,
2012-04,0.800,
2012-07,0.789,
2012-10,0.799,
2013-01,0.825,
2013-04,0.837,
2013-07,0.835,
2013-10,0.846,
2014-01,0.638,
2014-04,0.636,
2014-07,0.637,
