"",BBK01.OEYB08R,BBK01.OEYB08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:19,
2002-01,1.744,
2002-04,1.669,
2002-07,1.694,
2002-10,1.784,
2003-01,2.237,
2003-04,2.124,
2003-07,2.072,
2003-10,1.921,
2004-01,2.099,
2004-04,2.086,
2004-07,2.038,
2004-10,2.070,
2005-01,1.981,
2005-04,1.970,
2005-07,1.965,
2005-10,1.882,
2006-01,1.889,
2006-04,1.862,
2006-07,1.840,
2006-10,1.800,
2007-01,1.234,
2007-04,0.931,
2007-07,0.911,
2007-10,0.890,
2008-01,0.851,
2008-04,0.841,
2008-07,1.082,
2008-10,1.066,
2009-01,1.044,
2009-04,1.040,
2009-07,1.052,
2009-10,1.085,
2010-01,1.098,
2010-04,1.140,
2010-07,1.134,
2010-10,1.185,
2011-01,1.167,
2011-04,1.133,
2011-07,1.153,
2011-10,1.184,
2012-01,1.178,
2012-04,1.164,
2012-07,1.259,
2012-10,1.312,
2013-01,1.309,
2013-04,1.290,
2013-07,1.301,
2013-10,1.254,
2014-01,1.225,
2014-04,1.214,
2014-07,1.201,
