"",BBFN1.M.DE.N.1.A.SG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:02,
1982-09,0.039,
1982-10,0.036,
1982-11,0.063,
1982-12,0.063,
1983-01,0.062,
1983-02,0.063,
1983-03,0.063,
1983-04,0.060,
1983-05,0.061,
1983-06,0.071,
1983-07,0.069,
1983-08,0.069,
1983-09,0.036,
1983-10,0.034,
1983-11,0.037,
1983-12,0.039,
1984-01,0.046,
1984-02,0.043,
1984-03,0.044,
1984-04,0.045,
1984-05,0.040,
1984-06,0.038,
1984-07,0.038,
1984-08,0.038,
1984-09,0.030,
1984-10,0.031,
1984-11,0.034,
1984-12,0.037,
1985-01,0.034,
1985-02,0.033,
1985-03,0.033,
1985-04,0.032,
1985-05,0.029,
1985-06,0.034,
1985-07,0.048,
1985-08,0.050,
1985-09,0.035,
1985-10,0.036,
1985-11,0.042,
1985-12,0.037,
1986-01,0.036,
1986-02,0.058,
1986-03,0.062,
1986-04,0.076,
1986-05,0.088,
1986-06,0.073,
1986-07,0.074,
1986-08,0.137,
1986-09,0.151,
1986-10,0.238,
1986-11,0.299,
1986-12,0.136,
1987-01,0.231,
1987-02,0.235,
1987-03,0.290,
1987-04,0.304,
1987-05,0.266,
1987-06,0.205,
1987-07,0.292,
1987-08,0.222,
1987-09,0.327,
1987-10,0.350,
1987-11,0.346,
1987-12,0.197,
1988-01,0.281,
1988-02,0.258,
1988-03,0.272,
1988-04,0.336,
1988-05,0.381,
1988-06,0.282,
1988-07,0.257,
1988-08,0.264,
1988-09,0.236,
1988-10,0.355,
1988-11,0.279,
1988-12,0.157,
1989-01,0.233,
1989-02,0.356,
1989-03,0.333,
1989-04,0.413,
1989-05,0.272,
1989-06,0.161,
1989-07,0.288,
1989-08,0.373,
