"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:40,
1991-01,-1366.412,
1991-04,4629.161,
1991-07,10115.495,
1991-10,10283.304,
1992-01,-1674.979,
1992-04,2738.976,
1992-07,18280.683,
1992-10,25277.428,
1993-01,31354.343,
1993-04,28909.864,
1993-07,14900.897,
1993-10,21168.067,
1994-01,-7688.301,
1994-04,-9102.089,
1994-07,4853.528,
1994-10,10695.121,
1995-01,2475.420,
1995-04,9439.412,
1995-07,7364.235,
1995-10,5416.231,
1996-01,16133.314,
1996-04,16643.105,
1996-07,10951.584,
1996-10,10202.335,
1997-01,15773.316,
1997-04,8480.535,
1997-07,22763.411,
1997-10,12309.454,
1998-01,13640.624,
1998-04,23466.701,
1998-07,32574.375,
1998-10,3069.021,
1999-01,22035.908,
1999-04,43994.554,
1999-07,40865.632,
1999-10,37265.203,
2000-01,-59129.446,
2000-04,76177.908,
2000-07,22075.228,
2000-10,19857.952,
2001-01,-1775.815,
2001-04,40315.103,
2001-07,35370.440,
2001-10,15397.625,
2002-01,20571.146,
2002-04,50869.211,
2002-07,28329.338,
2002-10,-804.430,
2003-01,30157.732,
2003-04,21973.726,
2003-07,-7303.152,
2003-10,13810.749,
2004-01,38825.705,
2004-04,9520.196,
2004-07,47607.020,
2004-10,13575.300,
2005-01,42345.593,
2005-04,62724.377,
2005-07,27822.052,
2005-10,13895.344,
2006-01,43195.113,
2006-04,-2763.949,
2006-07,18549.823,
2006-10,33358.501,
2007-01,54693.438,
2007-04,81949.799,
2007-07,52032.614,
2007-10,77102.039,
2008-01,2810.867,
2008-04,3864.011,
2008-07,15070.349,
2008-10,-55450.287,
2009-01,-26450.329,
2009-04,13546.396,
2009-07,-4834.422,
2009-10,-15191.449,
2010-01,2206.955,
2010-04,-4149.811,
2010-07,26959.723,
2010-10,726.288,
2011-01,30528.560,
2011-04,35931.206,
2011-07,20647.496,
2011-10,-37900.066,
2012-01,-1657.096,
2012-04,20200.157,
2012-07,-4804.150,
2012-10,6058.749,
2013-01,-2219.677,
2013-04,-22171.824,
2013-07,-9149.497,
2013-10,-15168.635,
2014-01,14709.748,Provisional value
2014-04,11371.753,Provisional value
2014-07,-3763.278,Provisional value
2014-10,1849.452,Provisional value
