"",BBK01.OEXM04N,BBK01.OEXM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:50,
2002-01,0.750,
2002-04,0.784,
2002-07,0.877,
2002-10,0.700,
2003-01,0.505,
2003-04,0.520,
2003-07,0.337,
2003-10,0.449,
2004-01,0.251,
2004-04,0.197,
2004-07,0.166,
2004-10,0.222,
2005-01,0.230,
2005-04,0.187,
2005-07,0.146,
2005-10,0.235,
2006-01,0.297,
2006-04,0.272,
2006-07,0.360,
2006-10,0.191,
2007-01,0.231,
2007-04,0.230,
2007-07,0.255,
2007-10,0.223,
2008-01,0.473,
2008-04,0.407,
2008-07,0.696,
2008-10,0.977,
2009-01,1.122,
2009-04,1.290,
2009-07,1.000,
2009-10,1.526,
2010-01,1.036,
2010-04,1.500,
2010-07,1.780,
2010-10,1.854,
2011-01,2.120,
2011-04,2.183,
2011-07,2.987,
2011-10,2.427,
2012-01,2.467,
2012-04,2.659,
2012-07,2.587,
2012-10,6.076,
2013-01,4.427,
2013-04,3.384,
2013-07,4.243,
2013-10,4.139,
2014-01,3.314,
2014-04,3.423,
2014-07,3.119,
