"",BBK01.OEAH41G,BBK01.OEAH41G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:21,
2002-01,0.129,
2002-04,0.143,
2002-07,0.143,
2002-10,0.142,
2003-01,0.137,
2003-04,0.147,
2003-07,0.134,
2003-10,0.130,
2004-01,0.131,
2004-04,0.129,
2004-07,0.120,
2004-10,0.162,
2005-01,0.150,
2005-04,0.130,
2005-07,0.148,
2005-10,0.139,
2006-01,0.147,
2006-04,0.156,
2006-07,0.158,
2006-10,0.164,
2007-01,0.136,
2007-04,0.119,
2007-07,0.109,
2007-10,0.121,
2008-01,0.117,
2008-04,0.102,
2008-07,0.093,
2008-10,0.090,
2009-01,0.097,
2009-04,0.114,
2009-07,0.143,
2009-10,0.181,
2010-01,0.214,
2010-04,0.222,
2010-07,0.217,
2010-10,0.220,
2011-01,0.215,
2011-04,0.203,
2011-07,0.188,
2011-10,0.165,
2012-01,0.170,
2012-04,0.173,
2012-07,0.184,
2012-10,0.196,
2013-01,0.202,
2013-04,0.278,
2013-07,0.324,
2013-10,0.240,
2014-01,0.243,
2014-04,0.218,
2014-07,0.215,
