"",BBK01.OEYL07M,BBK01.OEYL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:34,
2002-01,2.128,
2002-04,2.060,
2002-07,2.017,
2002-10,2.049,
2003-01,2.046,
2003-04,2.016,
2003-07,1.960,
2003-10,1.966,
2004-01,1.943,
2004-04,1.891,
2004-07,1.851,
2004-10,1.816,
2005-01,1.786,
2005-04,1.753,
2005-07,1.728,
2005-10,1.717,
2006-01,1.679,
2006-04,1.631,
2006-07,1.547,
2006-10,1.517,
2007-01,1.494,
2007-04,1.488,
2007-07,1.444,
2007-10,1.397,
2008-01,1.340,
2008-04,1.309,
2008-07,1.272,
2008-10,1.538,
2009-01,1.507,
2009-04,1.500,
2009-07,1.419,
2009-10,1.282,
2010-01,1.293,
2010-04,1.283,
2010-07,1.281,
2010-10,1.276,
2011-01,1.285,
2011-04,1.303,
2011-07,1.301,
2011-10,1.296,
2012-01,1.277,
2012-04,1.248,
2012-07,1.212,
2012-10,1.156,
2013-01,1.683,
2013-04,1.705,
2013-07,1.703,
2013-10,1.711,
2014-01,1.651,
2014-04,1.605,
2014-07,1.583,
