"",BBK01.OEXB02Q,BBK01.OEXB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:35,
2002-01,1.750,
2002-04,1.631,
2002-07,1.610,
2002-10,1.673,
2003-01,1.816,
2003-04,1.785,
2003-07,1.766,
2003-10,1.409,
2004-01,1.421,
2004-04,1.353,
2004-07,1.299,
2004-10,0.537,
2005-01,0.562,
2005-04,0.553,
2005-07,0.574,
2005-10,0.603,
2006-01,0.694,
2006-04,0.729,
2006-07,0.689,
2006-10,0.705,
2007-01,0.703,
2007-04,0.715,
2007-07,0.733,
2007-10,0.781,
2008-01,0.743,
2008-04,0.791,
2008-07,0.785,
2008-10,0.744,
2009-01,0.705,
2009-04,0.646,
2009-07,0.633,
2009-10,0.576,
2010-01,0.576,
2010-04,0.597,
2010-07,0.581,
2010-10,0.579,
2011-01,0.607,
2011-04,0.616,
2011-07,0.598,
2011-10,0.537,
2012-01,0.528,
2012-04,0.551,
2012-07,0.572,
2012-10,0.563,
2013-01,0.596,
2013-04,0.592,
2013-07,0.602,
2013-10,0.584,
2014-01,0.587,
2014-04,0.625,
2014-07,0.657,
