"",BBK01.OEXB12S,BBK01.OEXB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:04,
2002-01,2.234,
2002-04,2.207,
2002-07,2.111,
2002-10,2.167,
2003-01,2.183,
2003-04,2.217,
2003-07,2.230,
2003-10,2.244,
2004-01,2.235,
2004-04,2.245,
2004-07,2.269,
2004-10,2.330,
2005-01,2.329,
2005-04,2.375,
2005-07,2.366,
2005-10,2.428,
2006-01,2.514,
2006-04,2.508,
2006-07,2.550,
2006-10,2.581,
2007-01,2.624,
2007-04,2.622,
2007-07,2.725,
2007-10,2.887,
2008-01,2.920,
2008-04,2.965,
2008-07,2.997,
2008-10,3.060,
2009-01,3.119,
2009-04,3.148,
2009-07,3.183,
2009-10,3.268,
2010-01,3.282,
2010-04,3.298,
2010-07,3.475,
2010-10,3.596,
2011-01,3.690,
2011-04,3.766,
2011-07,3.884,
2011-10,4.012,
2012-01,4.073,
2012-04,4.144,
2012-07,4.196,
2012-10,4.246,
2013-01,4.297,
2013-04,4.285,
2013-07,4.324,
2013-10,4.361,
2014-01,4.347,
2014-04,4.264,
2014-07,4.325,
