"",BBK01.OEYL02N,BBK01.OEYL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:03,
2002-01,0.402,
2002-04,0.281,
2002-07,0.305,
2002-10,0.331,
2003-01,0.278,
2003-04,0.273,
2003-07,0.276,
2003-10,0.172,
2004-01,0.294,
2004-04,0.200,
2004-07,0.272,
2004-10,0.201,
2005-01,0.418,
2005-04,0.255,
2005-07,0.180,
2005-10,0.153,
2006-01,0.217,
2006-04,0.230,
2006-07,0.220,
2006-10,0.226,
2007-01,0.370,
2007-04,0.444,
2007-07,0.240,
2007-10,0.235,
2008-01,0.277,
2008-04,0.265,
2008-07,0.246,
2008-10,0.203,
2009-01,0.303,
2009-04,0.205,
2009-07,0.315,
2009-10,0.288,
2010-01,0.364,
2010-04,0.317,
2010-07,0.226,
2010-10,0.186,
2011-01,0.195,
2011-04,1.947,
2011-07,0.393,
2011-10,2.129,
2012-01,3.452,
2012-04,0.451,
2012-07,0.448,
2012-10,0.491,
2013-01,0.518,
2013-04,0.526,
2013-07,0.616,
2013-10,0.673,
2014-01,0.682,
2014-04,0.512,
2014-07,0.517,
