"",BBK01.OEGB06I,BBK01.OEGB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:01,
2002-01,3.512,
2002-04,3.064,
2002-07,2.908,
2002-10,2.905,
2003-01,2.272,
2003-04,2.179,
2003-07,3.300,
2003-10,3.026,
2004-01,2.893,
2004-04,2.732,
2004-07,2.414,
2004-10,2.337,
2005-01,2.292,
2005-04,2.268,
2005-07,2.962,
2005-10,2.826,
2006-01,3.287,
2006-04,3.221,
2006-07,5.414,
2006-10,5.283,
2007-01,4.694,
2007-04,4.319,
2007-07,4.569,
2007-10,6.306,
2008-01,8.841,
2008-04,8.317,
2008-07,9.399,
2008-10,8.215,
2009-01,8.640,
2009-04,9.186,
2009-07,9.473,
2009-10,11.189,
2010-01,11.468,
2010-04,10.112,
2010-07,7.139,
2010-10,7.607,
2011-01,8.777,
2011-04,10.378,
2011-07,11.736,
2011-10,7.802,
2012-01,11.665,
2012-04,12.779,
2012-07,10.655,
2012-10,7.284,
2013-01,8.132,
2013-04,10.640,
2013-07,3.082,
2013-10,3.202,
2014-01,3.665,
2014-04,3.644,
2014-07,3.041,
