"",BBK01.OEAH21U,BBK01.OEAH21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:18,
2002-01,0.170,
2002-04,0.174,
2002-07,0.170,
2002-10,0.168,
2003-01,0.164,
2003-04,0.168,
2003-07,0.163,
2003-10,0.165,
2004-01,0.163,
2004-04,0.160,
2004-07,0.169,
2004-10,0.159,
2005-01,0.208,
2005-04,0.209,
2005-07,0.200,
2005-10,0.216,
2006-01,0.221,
2006-04,0.223,
2006-07,0.224,
2006-10,0.226,
2007-01,0.249,
2007-04,0.216,
2007-07,0.226,
2007-10,0.227,
2008-01,0.222,
2008-04,0.226,
2008-07,0.439,
2008-10,0.416,
2009-01,0.521,
2009-04,0.537,
2009-07,0.579,
2009-10,0.615,
2010-01,0.656,
2010-04,0.717,
2010-07,0.727,
2010-10,0.743,
2011-01,0.759,
2011-04,0.799,
2011-07,0.820,
2011-10,0.820,
2012-01,0.856,
2012-04,0.907,
2012-07,0.891,
2012-10,0.991,
2013-01,1.055,
2013-04,1.162,
2013-07,1.178,
2013-10,1.240,
2014-01,1.225,
2014-04,1.314,
2014-07,1.308,
