"",BBK01.CEF20J,BBK01.CEF20J_FLAGS
"",Currency and deposits   debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:02,
1999-01,1216.2,
1999-04,1218.9,
1999-07,1212.8,
1999-10,1224.3,
2000-01,1214.3,
2000-04,1193.9,
2000-07,1186.2,
2000-10,1191.1,
2001-01,1200.5,
2001-04,1210.7,
2001-07,1216.5,
2001-10,1220.9,
2002-01,1227.5,
2002-04,1240.4,
2002-07,1249.6,
2002-10,1279.7,
2003-01,1301.8,
2003-04,1310.9,
2003-07,1319.9,
2003-10,1331.6,
2004-01,1347.4,
2004-04,1357.2,
2004-07,1364.2,
2004-10,1385.4,
2005-01,1394.6,
2005-04,1404.6,
2005-07,1404.6,
2005-10,1422.3,
2006-01,1431.0,
2006-04,1439.4,
2006-07,1435.8,
2006-10,1451.3,
2007-01,1457.9,
2007-04,1472.2,
2007-07,1481.7,
2007-10,1512.4,
2008-01,1513.7,
2008-04,1522.0,
2008-07,1528.2,
2008-10,1604.4,
2009-01,1613.1,
2009-04,1626.0,
2009-07,1628.9,
2009-10,1650.7,
2010-01,1664.0,
2010-04,1678.6,
2010-07,1681.8,
2010-10,1714.7,
2011-01,1720.8,
2011-04,1734.7,
2011-07,1745.5,
2011-10,1772.2,
2012-01,1788.0,
2012-04,1809.5,
2012-07,1825.6,
2012-10,1847.6,
2013-01,1856.3,
2013-04,1874.8,
2013-07,1884.9,
2013-10,1914.0,
2014-01,1926.8,
2014-04,1945.9,
2014-07,1963.0,
