"",BBK01.CELFN3,BBK01.CELFN3_FLAGS
"",long-term loans                                              debtor: Rest of the world                   creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:21,
1999-01,10.8,
1999-04,10.0,
1999-07,6.0,
1999-10,8.7,
2000-01,3.7,
2000-04,6.5,
2000-07,5.7,
2000-10,10.9,
2001-01,8.0,
2001-04,6.4,
2001-07,3.3,
2001-10,8.1,
2002-01,6.3,
2002-04,3.4,
2002-07,0.0,
2002-10,4.2,
2003-01,5.7,
2003-04,0.6,
2003-07,1.2,
2003-10,2.5,
2004-01,-0.5,
2004-04,1.0,
2004-07,-2.9,
2004-10,0.9,
2005-01,3.2,
2005-04,4.2,
2005-07,5.6,
2005-10,4.4,
2006-01,4.7,
2006-04,4.3,
2006-07,6.5,
2006-10,4.5,
2007-01,3.0,
2007-04,13.7,
2007-07,15.0,
2007-10,12.1,
2008-01,12.6,
2008-04,32.5,
2008-07,21.9,
2008-10,10.7,
2009-01,-5.6,
2009-04,-2.7,
2009-07,-0.3,
2009-10,-6.9,
2010-01,-1.3,
2010-04,-0.1,
2010-07,-0.6,
2010-10,-9.8,
2011-01,-3.8,
2011-04,-3.2,
2011-07,4.4,
2011-10,1.6,
2012-01,-3.7,
2012-04,-3.7,
2012-07,-3.2,
2012-10,-5.7,
2013-01,-5.6,
2013-04,-7.9,
2013-07,-8.0,
2013-10,-7.5,
2014-01,0.6,
2014-04,-1.4,
2014-07,4.7,
