"",BBK01.OEYL06O,BBK01.OEYL06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:28,
2002-01,0.002,
2002-04,0.002,
2002-07,0.002,
2002-10,0.009,
2003-01,0.007,
2003-04,0.009,
2003-07,0.018,
2003-10,0.031,
2004-01,0.045,
2004-04,0.059,
2004-07,0.080,
2004-10,0.087,
2005-01,0.094,
2005-04,0.104,
2005-07,0.116,
2005-10,0.130,
2006-01,0.162,
2006-04,0.187,
2006-07,0.198,
2006-10,0.209,
2007-01,0.211,
2007-04,0.219,
2007-07,0.220,
2007-10,0.225,
2008-01,0.307,
2008-04,0.330,
2008-07,0.378,
2008-10,0.468,
2009-01,0.524,
2009-04,0.540,
2009-07,0.673,
2009-10,0.700,
2010-01,0.788,
2010-04,0.824,
2010-07,0.796,
2010-10,0.782,
2011-01,0.767,
2011-04,0.801,
2011-07,0.805,
2011-10,0.829,
2012-01,0.837,
2012-04,0.841,
2012-07,0.800,
2012-10,0.770,
2013-01,0.784,
2013-04,0.780,
2013-07,0.766,
2013-10,0.786,
2014-01,0.777,
2014-04,0.800,
2014-07,0.801,
