"",BBSF2.M.1.S.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:22,
2009-01,44,
2009-02,20,
2009-03,1115,
2009-04,742,
2009-05,990,
2009-06,97,
2009-07,1204,
2009-08,134,
2009-09,2670,
2009-10,593,
2009-11,239,
2009-12,620,
2010-01,167,
2010-02,333,
2010-03,313,
2010-04,307,
2010-05,41,
2010-06,19,
2010-07,291,
2010-08,3687,
2010-09,506,
2010-10,357,
2010-11,368,
2010-12,1079,
2011-01,162,
2011-02,108,
2011-03,285,
2011-04,181,
2011-05,331,
2011-06,312,
2011-07,317,
2011-08,209,
2011-09,699,
2011-10,503,
2011-11,199,
2011-12,1086,
2012-01,239,
2012-02,78,
2012-03,262,
2012-04,153,
2012-05,22,
2012-06,564,
2012-07,8973,
2012-08,-334,
2012-09,27,
2012-10,707,
2012-11,72,
2012-12,1003,
2013-01,910,
2013-02,136,
2013-03,141,
2013-04,540,
2013-05,17,
2013-06,-3,
2013-07,-117,
2013-08,-178,
2013-09,215,
2013-10,260,
2013-11,245,
2013-12,1397,
2014-01,65,
2014-02,235,
2014-03,452,
2014-04,236,
2014-05,99,
2014-06,554,
2014-07,515,
2014-08,457,
2014-09,17,
2014-10,124,
2014-11,655,
