"",BBK01.OEAF04L,BBK01.OEAF04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:12,
2002-01,44.983,
2002-04,46.417,
2002-07,47.587,
2002-10,48.455,
2003-01,49.511,
2003-04,52.386,
2003-07,60.610,
2003-10,67.047,
2004-01,67.259,
2004-04,62.640,
2004-07,68.528,
2004-10,69.778,
2005-01,71.760,
2005-04,74.152,
2005-07,76.744,
2005-10,79.387,
2006-01,80.634,
2006-04,77.739,
2006-07,82.605,
2006-10,83.848,
2007-01,81.630,
2007-04,83.081,
2007-07,90.005,
2007-10,95.033,
2008-01,95.515,
2008-04,94.333,
2008-07,98.956,
2008-10,99.319,
2009-01,98.730,
2009-04,100.987,
2009-07,101.835,
2009-10,100.789,
2010-01,100.548,
2010-04,100.761,
2010-07,103.882,
2010-10,104.662,
2011-01,104.463,
2011-04,105.251,
2011-07,106.297,
2011-10,107.021,
2012-01,107.197,
2012-04,107.721,
2012-07,108.498,
2012-10,108.912,
2013-01,108.755,
2013-04,108.762,
2013-07,109.298,
2013-10,109.747,
2014-01,109.805,
2014-04,110.425,
2014-07,111.078,
