"",BBK01.OECI01G,BBK01.OECI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:19,
2002-01,14.429,
2002-04,14.279,
2002-07,14.898,
2002-10,16.785,
2003-01,13.983,
2003-04,14.030,
2003-07,13.525,
2003-10,15.364,
2004-01,13.280,
2004-04,14.042,
2004-07,15.097,
2004-10,14.730,
2005-01,23.366,
2005-04,24.066,
2005-07,24.272,
2005-10,24.977,
2006-01,23.879,
2006-04,24.128,
2006-07,24.371,
2006-10,26.535,
2007-01,27.485,
2007-04,28.847,
2007-07,29.936,
2007-10,34.043,
2008-01,31.235,
2008-04,32.310,
2008-07,33.369,
2008-10,37.220,
2009-01,37.414,
2009-04,37.465,
2009-07,37.359,
2009-10,37.578,
2010-01,34.841,
2010-04,35.550,
2010-07,35.259,
2010-10,37.234,
2011-01,34.913,
2011-04,35.660,
2011-07,36.028,
2011-10,38.751,
2012-01,38.446,
2012-04,39.419,
2012-07,39.789,
2012-10,40.889,
2013-01,38.212,
2013-04,38.130,
2013-07,38.543,
2013-10,40.273,
2014-01,37.655,
2014-04,38.724,
2014-07,39.116,
