"",BBK01.CEH0N0,BBK01.CEH0N0_FLAGS
"",External financing debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:42,
1991-01,15.5,
1991-04,1.9,
1991-07,5.8,
1991-10,21.6,
1992-01,18.9,
1992-04,7.3,
1992-07,22.2,
1992-10,39.2,
1993-01,36.3,
1993-04,33.5,
1993-07,15.3,
1993-10,45.8,
1994-01,-0.1,
1994-04,-3.5,
1994-07,13.1,
1994-10,45.1,
1995-01,17.5,
1995-04,37.5,
1995-07,16.4,
1995-10,14.6,
1996-01,20.4,
1996-04,18.2,
1996-07,9.2,
1996-10,60.6,
1997-01,66.0,
1997-04,47.7,
1997-07,34.7,
1997-10,54.6,
1998-01,92.3,
1998-04,80.6,
1998-07,27.4,
1998-10,112.6,
1999-01,113.2,
1999-04,74.9,
1999-07,73.3,
1999-10,110.4,
2000-01,156.3,
2000-04,107.7,
2000-07,108.6,
2000-10,37.7,
2001-01,163.7,
2001-04,65.0,
2001-07,54.9,
2001-10,32.2,
2002-01,47.3,
2002-04,84.3,
2002-07,94.5,
2002-10,22.9,
2003-01,122.9,
2003-04,85.0,
2003-07,1.0,
2003-10,38.6,
2004-01,91.5,
2004-04,18.5,
2004-07,107.2,
2004-10,46.6,
2005-01,171.7,
2005-04,102.3,
2005-07,71.4,
2005-10,59.9,
2006-01,173.1,
2006-04,105.4,
2006-07,91.5,
2006-10,105.1,
2007-01,151.3,
2007-04,218.1,
2007-07,135.4,
2007-10,115.9,
2008-01,199.9,
2008-04,53.0,
2008-07,73.6,
2008-10,-157.8,
2009-01,-45.2,
2009-04,74.4,
2009-07,-37.2,
2009-10,29.8,
2010-01,97.5,
2010-04,136.8,
2010-07,77.0,
2010-10,83.5,
2011-01,49.1,
2011-04,87.7,
2011-07,170.6,
2011-10,-66.9,
2012-01,281.1,
2012-04,136.8,
2012-07,28.3,
2012-10,-29.1,
2013-01,29.5,
2013-04,30.3,
2013-07,-18.7,
2013-10,-23.0,
2014-01,75.1,
