"",BBK01.OEAH71R,BBK01.OEAH71R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:56,
2002-01,0.690,
2002-04,0.704,
2002-07,0.641,
2002-10,0.663,
2003-01,0.525,
2003-04,0.505,
2003-07,0.532,
2003-10,0.550,
2004-01,0.520,
2004-04,0.571,
2004-07,0.572,
2004-10,0.604,
2005-01,0.583,
2005-04,0.553,
2005-07,0.582,
2005-10,0.623,
2006-01,0.590,
2006-04,0.624,
2006-07,0.637,
2006-10,0.650,
2007-01,0.647,
2007-04,0.688,
2007-07,0.790,
2007-10,0.638,
2008-01,0.697,
2008-04,0.800,
2008-07,0.718,
2008-10,0.812,
2009-01,0.870,
2009-04,0.937,
2009-07,0.893,
2009-10,0.890,
2010-01,0.861,
2010-04,0.881,
2010-07,0.905,
2010-10,0.912,
2011-01,0.898,
2011-04,0.896,
2011-07,0.909,
2011-10,0.939,
2012-01,0.893,
2012-04,0.956,
2012-07,0.967,
2012-10,1.019,
2013-01,1.084,
2013-04,0.991,
2013-07,0.988,
2013-10,0.886,
2014-01,0.933,
2014-04,0.984,
2014-07,0.974,
