"",BBFN1.M.DE.N.1.L.IR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:16,
1994-12,0.724,
1995-01,0.725,
1995-02,0.707,
1995-03,0.731,
1995-04,0.739,
1995-05,0.745,
1995-06,0.733,
1995-07,0.745,
1995-08,0.746,
1995-09,0.731,
1995-10,0.708,
1995-11,0.710,
1995-12,0.701,
1996-01,0.693,
1996-02,0.722,
1996-03,0.724,
1996-04,0.740,
1996-05,0.735,
1996-06,0.742,
1996-07,0.725,
1996-08,0.714,
1996-09,0.716,
1996-10,0.735,
1996-11,0.731,
1996-12,0.698,
1997-01,0.660,
1997-02,0.664,
1997-03,0.666,
1997-04,0.692,
1997-05,0.678,
1997-06,0.618,
1997-07,0.636,
1997-08,0.646,
1997-09,0.654,
1997-10,0.689,
1997-11,0.681,
1997-12,0.643,
1998-01,0.681,
1998-02,0.674,
1998-03,0.638,
1998-04,0.639,
1998-05,0.634,
1998-06,0.576,
1998-07,0.586,
1998-08,0.526,
1998-09,0.520,
1998-10,0.485,
1998-11,0.490,
1998-12,0.481,
1999-01,0.470,
1999-02,0.475,
1999-03,0.468,
1999-04,0.445,
1999-05,0.440,
1999-06,0.482,
1999-07,0.482,
1999-08,0.488,
1999-09,0.478,
1999-10,1.077,
1999-11,1.107,
1999-12,1.154,
2000-01,1.165,
2000-02,1.147,
2000-03,1.123,
2000-04,1.133,
2000-05,1.149,
2000-06,1.173,
2000-07,1.177,
2000-08,1.185,
2000-09,1.141,
2000-10,1.150,
2000-11,1.151,
2000-12,1.161,
2001-01,1.195,
2001-02,1.184,
2001-03,1.123,
2001-04,1.183,
2001-05,1.179,
2001-06,1.190,
2001-07,1.176,
2001-08,1.213,
2001-09,1.038,
2001-10,1.077,
2001-11,1.038,
2001-12,1.039,
2002-01,1.033,
2002-02,1.036,
2002-03,1.030,
2002-04,1.044,
2002-05,1.039,
2002-06,1.082,
2002-07,1.092,
2002-08,1.096,
2002-09,1.145,
2002-10,1.173,
2002-11,1.181,
2002-12,1.141,
2003-01,1.216,
2003-02,1.260,
2003-03,1.319,
2003-04,1.371,
2003-05,1.419,
2003-06,1.347,
2003-07,1.375,
2003-08,0.850,
2003-09,0.898,
2003-10,0.939,
2003-11,0.993,
2003-12,1.246,
2004-01,1.282,
2004-02,1.337,
2004-03,1.394,
2004-04,1.405,
2004-05,1.454,
2004-06,1.527,
2004-07,1.522,
2004-08,1.526,
2004-09,1.439,
2004-10,1.468,
2004-11,1.488,
2004-12,1.489,
2005-01,1.511,
2005-02,1.531,
2005-03,1.585,
2005-04,1.685,
2005-05,1.697,
2005-06,1.732,
2005-07,1.767,
2005-08,1.806,
2005-09,1.850,
2005-10,1.906,
2005-11,1.959,
2005-12,2.008,
2006-01,2.051,
2006-02,2.066,
2006-03,2.165,
2006-04,2.186,
2006-05,2.241,
2006-06,2.168,
2006-07,2.455,
2006-08,2.472,
2006-09,2.517,
2006-10,2.548,
2006-11,2.534,
2006-12,2.530,
2007-01,2.544,
2007-02,2.594,
2007-03,2.630,
2007-04,2.657,
2007-05,2.652,
2007-06,2.716,
2007-07,2.818,
2007-08,2.869,
2007-09,2.865,
2007-10,2.879,
2007-11,2.875,
2007-12,2.781,
2008-01,2.776,
2008-02,2.861,
2008-03,2.618,
2008-04,2.876,
2008-05,2.719,
2008-06,2.717,
2008-07,2.745,
2008-08,2.809,
2008-09,2.675,
2008-10,2.678,
2008-11,2.460,
2008-12,2.346,
2009-01,2.334,
2009-02,2.295,
2009-03,2.409,
2009-04,2.459,
2009-05,2.376,
2009-06,2.372,
2009-07,2.391,
2009-08,2.376,
2009-09,2.298,
2009-10,2.336,
2009-11,2.251,
2009-12,2.212,
2010-01,2.232,
2010-02,2.114,
2010-03,2.028,
2010-04,2.061,
2010-05,2.107,
2010-06,2.091,
2010-07,2.110,
2010-08,2.142,
2010-09,2.286,
2010-10,2.463,
2010-11,2.160,
2010-12,2.172,
2011-01,2.187,
2011-02,2.173,
2011-03,2.139,
2011-04,2.175,
2011-05,2.209,
2011-06,2.156,
2011-07,2.176,
2011-08,2.175,
2011-09,2.161,
2011-10,2.203,
2011-11,2.244,
2011-12,2.196,
2012-01,2.234,
2012-02,2.287,
2012-03,2.330,
2012-04,2.389,
2012-05,2.376,
2012-06,2.406,
2012-07,2.368,
2012-08,2.406,
2012-09,2.502,
2012-10,2.384,
2012-11,2.376,
2012-12,2.224,
2013-01,2.181,
2013-02,2.213,
2013-03,2.328,
2013-04,2.331,
2013-05,2.318,
2013-06,2.572,
2013-07,2.369,
2013-08,2.380,
2013-09,2.192,
2013-10,2.200,
2013-11,2.197,
2013-12,2.205,
2014-01,1.875,
2014-02,1.872,
2014-03,1.867,
2014-04,1.767,
2014-05,1.900,
2014-06,1.861,
2014-07,1.890,
2014-08,1.900,
2014-09,1.913,
2014-10,1.923,
2014-11,1.916,
2014-12,1.889,
