"",BBK01.OEAA40R,BBK01.OEAA40R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:48,
2002-01,0.007,
2002-04,0.008,
2002-07,0.008,
2002-10,0.007,
2003-01,0.007,
2003-04,0.005,
2003-07,0.014,
2003-10,0.012,
2004-01,0.012,
2004-04,0.012,
2004-07,0.012,
2004-10,0.709,
2005-01,0.774,
2005-04,0.738,
2005-07,0.731,
2005-10,0.728,
2006-01,0.719,
2006-04,0.718,
2006-07,0.712,
2006-10,0.706,
2007-01,0.697,
2007-04,0.692,
2007-07,0.695,
2007-10,0.691,
2008-01,0.689,
2008-04,0.674,
2008-07,0.668,
2008-10,0.661,
2009-01,0.652,
2009-04,0.644,
2009-07,0.638,
2009-10,0.631,
2010-01,0.622,
2010-04,0.613,
2010-07,0.607,
2010-10,0.599,
2011-01,0.590,
2011-04,0.583,
2011-07,0.576,
2011-10,0.566,
2012-01,0.559,
2012-04,0.551,
2012-07,0.542,
2012-10,0.531,
2013-01,0.521,
2013-04,0.511,
2013-07,0.499,
2013-10,0.490,
2014-01,0.477,
2014-04,0.468,
2014-07,0.457,
