"",BBK01.OEYB10J,BBK01.OEYB10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:50,
2002-01,0.686,
2002-04,0.745,
2002-07,0.752,
2002-10,0.653,
2003-01,0.676,
2003-04,0.653,
2003-07,0.641,
2003-10,0.651,
2004-01,0.593,
2004-04,0.589,
2004-07,0.631,
2004-10,1.075,
2005-01,0.556,
2005-04,0.596,
2005-07,0.512,
2005-10,0.514,
2006-01,0.534,
2006-04,0.547,
2006-07,0.498,
2006-10,0.470,
2007-01,0.561,
2007-04,0.559,
2007-07,0.540,
2007-10,0.492,
2008-01,0.490,
2008-04,0.568,
2008-07,0.583,
2008-10,0.572,
2009-01,0.530,
2009-04,0.523,
2009-07,0.600,
2009-10,0.530,
2010-01,0.534,
2010-04,0.529,
2010-07,0.575,
2010-10,0.612,
2011-01,0.604,
2011-04,0.612,
2011-07,0.587,
2011-10,0.618,
2012-01,0.654,
2012-04,0.669,
2012-07,0.886,
2012-10,0.964,
2013-01,0.894,
2013-04,0.904,
2013-07,1.074,
2013-10,0.924,
2014-01,0.708,
2014-04,0.781,
2014-07,0.713,
