"",BBEX3.A.CDF.EUR.CA.AC.A04,BBEX3.A.CDF.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in the Democratic Republic of the Congo * / EUR 1 = CDF ... (middle),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:28,
1999,4.37838,comment
2000,22.03836,comment
2001,196.62610,comment
2002,330.64748,
2003,454.94933,
2004,496.79643,
2005,583.06246,
2006,588.34213,
2007,700.90833,
2008,826.47181,
2009,1144.74236,
2010,1198.12687,
2011,1282.86673,
2012,1184.84975,
2013,1223.64726,
2014,1223.64235,
"",General: * Referred to as indicative rates until December 2008.,
"","Source: Since 2009 Banque Centrale du Congo, Kinshasa September 2006 - December 2008 Fortis Bank, Brüssel January 1999 - August 2006 Banque Belgolaise, Brüssel",
"","Methodology: Until 2008 calculated on the basis of month-end rates, from 2009 on the basis of month-end buying and selling rates.",
"","Comment on 1999: On 6 April 1999, the Congo franc was devalued. We recorded the following exchange rates:  5 April 1999: EUR 1 = CDF 3.16835  6 April 1999: EUR 1 = CDF 4.94665  Calculated devaluation: 35.9%.",
"","Comment on 2000: In 2000, the Congo franc was devalued quite sharply on three occasions. We recorded the following exchange rates:  21 January 2000: EUR 1 = CDF 4.7048  24 January 2000: EUR 1 = CDF 9.2005; calculated devaluation: 48.9%.  9 June 2000: EUR 1 = CDF 8.79145  12 June 2000: EUR 1 = CDF 22.8783; calculated devaluation: 61.6%.  23 October 2000: EUR 1 = CDF 20.24  24 October 2000 EUR 1 = CDF 43.34; calculated devaluation: 53.3%.",
"","Comment on 2001: On 28 May 2001, the Congo franc was devalued. We recorded the following exchange rates:  25 May 2001: EUR 1 = CDF 44.03  28 May 2001: EUR 1 = CDF 266.75  Calculated devaluation: 83.5%.",
