"",BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Assets - Positions - Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:27,
1999-10,119297,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,109574,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,136660,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,138833,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,166640,
2004-01,181869,
2004-04,169881,
2004-07,181916,
2004-10,180248,
2005-01,197252,
2005-04,191377,
2005-07,198678,
2005-10,190830,
2006-01,204039,
2006-04,207862,
2006-07,209313,
2006-10,206609,
2007-01,227153,
2007-04,233233,
2007-07,240589,
2007-10,250881,
2008-01,280955,
2008-04,257881,
2008-07,276374,
2008-10,258851,
2009-01,279543,
2009-04,273637,
2009-07,273967,
2009-10,275641,
2010-01,289386,
2010-04,293945,
2010-07,318673,
2010-10,323149,
2011-01,328869,
2011-04,338181,
2011-07,358482,
2011-10,313891,
2012-01,323684,
2012-04,339246,
2012-07,329559,
2012-10,309990,
2013-01,335453,
2013-04,332584,
2013-07,314776,
2013-10,314477,
2014-01,338009,
2014-04,336331,
2014-07,335282,
