"",BBFN1.M.DE.N.1.L.IS.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IS.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:25,
2006-03,0.137,
2006-04,0.135,
2006-05,0.129,
2006-06,0.134,
2006-07,0.151,
2006-08,0.155,
2006-09,0.144,
2006-10,0.146,
2006-11,0.133,
2006-12,0.150,
2007-01,0.127,
2007-02,0.123,
2007-03,0.126,
2007-04,0.125,
2007-05,0.125,
2007-06,0.156,
2007-07,0.136,
2007-08,0.207,
2007-09,0.201,
2007-10,0.217,
2007-11,0.195,
2007-12,0.150,
2008-01,0.161,
2008-02,0.156,
2008-03,0.151,
2008-04,0.112,
2008-05,0.098,
2008-06,0.093,
2008-07,0.092,
2008-08,0.076,
2008-09,0.079,
2008-10,0.077,
2008-11,0.083,
2008-12,0.083,
2009-01,0.066,
2009-02,0.067,
2009-03,0.372,
2009-04,0.073,
2009-05,0.070,
2009-06,0.071,
2009-07,0.072,
2009-08,0.068,
2009-09,0.069,
2009-10,0.068,
2009-11,0.071,
2009-12,0.072,
2010-01,0.066,
2010-02,0.066,
2010-03,0.101,
2010-04,0.104,
2010-05,0.129,
2010-06,0.136,
2010-07,0.136,
2010-08,0.135,
2010-09,0.136,
2010-10,0.147,
2010-11,0.110,
2010-12,0.129,
2011-01,0.103,
2011-02,0.103,
2011-03,0.110,
2011-04,0.109,
2011-05,0.110,
2011-06,0.117,
2011-07,0.112,
2011-08,0.115,
2011-09,0.119,
2011-10,0.123,
2011-11,0.104,
2011-12,0.100,
2012-01,0.099,
2012-02,0.100,
2012-03,0.102,
2012-04,0.103,
2012-05,0.092,
2012-06,0.087,
2012-07,0.077,
2012-08,0.074,
2012-09,0.082,
2012-10,0.080,
2012-11,0.078,
2012-12,0.083,
2013-01,0.091,
2013-02,0.082,
2013-03,0.093,
2013-04,0.079,
2013-05,0.081,
2013-06,0.080,
2013-07,0.068,
2013-08,0.065,
2013-09,0.082,
2013-10,0.079,
2013-11,0.082,
2013-12,0.079,
2014-01,0.092,
2014-02,0.096,
2014-03,0.069,
2014-04,0.057,
2014-05,0.057,
2014-06,0.057,
2014-07,0.057,
2014-08,0.056,
2014-09,0.062,
2014-10,0.061,
2014-11,0.060,
2014-12,0.062,
