"",BBK01.OELI03H,BBK01.OELI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:38,
2002-01,19.529,
2002-04,19.272,
2002-07,19.098,
2002-10,19.256,
2003-01,19.222,
2003-04,18.476,
2003-07,18.060,
2003-10,18.064,
2004-01,17.495,
2004-04,16.846,
2004-07,16.617,
2004-10,16.932,
2005-01,16.525,
2005-04,16.235,
2005-07,16.095,
2005-10,16.368,
2006-01,16.631,
2006-04,16.682,
2006-07,17.195,
2006-10,17.660,
2007-01,18.451,
2007-04,18.948,
2007-07,20.026,
2007-10,21.065,
2008-01,21.978,
2008-04,22.840,
2008-07,23.718,
2008-10,26.006,
2009-01,22.836,
2009-04,19.800,
2009-07,17.529,
2009-10,16.037,
2010-01,15.473,
2010-04,14.880,
2010-07,14.608,
2010-10,14.955,
2011-01,14.837,
2011-04,14.938,
2011-07,15.040,
2011-10,15.217,
2012-01,14.653,
2012-04,13.849,
2012-07,13.087,
2012-10,12.390,
2013-01,11.409,
2013-04,10.561,
2013-07,10.038,
2013-10,9.669,
2014-01,10.112,
2014-04,9.919,
2014-07,9.755,
