"",BBDE1.M.DE.W.AEA1.P2XF00000.B2.V.I10.A,BBDE1.M.DE.W.AEA1.P2XF00000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Main construction industry / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:19,
1991-01,86.2,
1991-02,94.9,
1991-03,139.0,
1991-04,119.9,
1991-05,129.6,
1991-06,153.9,
1991-07,136.0,
1991-08,138.5,
1991-09,164.1,
1991-10,138.3,
1991-11,123.5,
1991-12,125.8,
1992-01,104.4,
1992-02,121.3,
1992-03,163.2,
1992-04,141.1,
1992-05,145.7,
1992-06,173.2,
1992-07,146.9,
1992-08,144.1,
1992-09,164.1,
1992-10,149.1,
1992-11,131.5,
1992-12,156.9,
1993-01,114.0,
1993-02,119.5,
1993-03,172.6,
1993-04,149.7,
1993-05,153.3,
1993-06,177.3,
1993-07,165.5,
1993-08,159.9,
1993-09,174.4,
1993-10,170.4,
1993-11,150.2,
1993-12,158.0,
1994-01,134.3,
1994-02,134.6,
1994-03,189.3,
1994-04,168.6,
1994-05,174.6,
1994-06,195.1,
1994-07,171.1,
1994-08,170.8,
1994-09,189.4,
1994-10,173.5,
1994-11,164.0,
1994-12,173.2,
1995-01,135.2,
1995-02,139.2,
1995-03,184.9,
1995-04,165.5,
1995-05,166.2,
1995-06,191.7,
1995-07,175.2,
1995-08,166.9,
1995-09,193.9,
1995-10,164.1,
1995-11,152.3,
1995-12,145.7,
1996-01,119.3,
1996-02,124.4,
1996-03,164.9,
1996-04,146.7,
1996-05,158.4,
1996-06,184.6,
1996-07,163.4,
1996-08,161.4,
1996-09,175.6,
1996-10,153.4,
1996-11,131.7,
1996-12,141.6,
1997-01,102.3,
1997-02,123.8,
1997-03,156.4,
1997-04,136.0,
1997-05,148.6,
1997-06,166.8,
1997-07,147.5,
1997-08,145.4,
1997-09,159.5,
1997-10,140.8,
1997-11,117.6,
1997-12,129.2,
1998-01,96.4,
1998-02,112.1,
1998-03,155.1,
1998-04,140.9,
1998-05,143.5,
1998-06,164.4,
1998-07,155.5,
1998-08,141.0,
1998-09,167.8,
1998-10,138.0,
1998-11,123.5,
1998-12,124.7,
1999-01,102.1,
