"",BBK01.OELK04G,BBK01.OELK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:30,
2002-01,1.406,
2002-04,1.378,
2002-07,1.357,
2002-10,1.338,
2003-01,1.285,
2003-04,1.237,
2003-07,1.179,
2003-10,1.186,
2004-01,1.115,
2004-04,1.048,
2004-07,1.046,
2004-10,0.971,
2005-01,0.926,
2005-04,0.916,
2005-07,0.958,
2005-10,0.976,
2006-01,1.002,
2006-04,1.026,
2006-07,1.060,
2006-10,1.052,
2007-01,1.099,
2007-04,1.110,
2007-07,1.262,
2007-10,1.409,
2008-01,1.437,
2008-04,1.620,
2008-07,1.686,
2008-10,1.957,
2009-01,1.599,
2009-04,1.291,
2009-07,1.095,
2009-10,0.973,
2010-01,0.906,
2010-04,0.853,
2010-07,0.830,
2010-10,0.854,
2011-01,0.817,
2011-04,0.826,
2011-07,0.883,
2011-10,0.897,
2012-01,0.808,
2012-04,0.763,
2012-07,0.706,
2012-10,0.635,
2013-01,0.587,
2013-04,0.533,
2013-07,0.509,
2013-10,0.518,
2014-01,0.474,
2014-04,0.444,
2014-07,0.447,
