"",BBK01.OEHI08R,BBK01.OEHI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:12,
2002-01,3.304,
2002-04,3.260,
2002-07,3.302,
2002-10,3.404,
2003-01,3.449,
2003-04,3.453,
2003-07,3.487,
2003-10,3.575,
2004-01,3.641,
2004-04,3.655,
2004-07,3.657,
2004-10,3.747,
2005-01,3.796,
2005-04,3.805,
2005-07,3.850,
2005-10,3.905,
2006-01,3.814,
2006-04,3.762,
2006-07,3.718,
2006-10,3.680,
2007-01,3.557,
2007-04,3.492,
2007-07,3.396,
2007-10,3.416,
2008-01,3.371,
2008-04,3.314,
2008-07,3.266,
2008-10,3.305,
2009-01,3.382,
2009-04,3.445,
2009-07,3.589,
2009-10,3.715,
2010-01,3.771,
2010-04,3.844,
2010-07,3.905,
2010-10,4.021,
2011-01,4.103,
2011-04,4.087,
2011-07,4.067,
2011-10,4.091,
2012-01,4.139,
2012-04,4.112,
2012-07,4.149,
2012-10,4.220,
2013-01,4.260,
2013-04,4.254,
2013-07,4.342,
2013-10,4.419,
2014-01,4.457,
2014-04,4.431,
2014-07,4.456,
