"",BBK01.OEAE32H,BBK01.OEAE32H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:15,
2002-01,5.004,
2002-04,4.970,
2002-07,4.978,
2002-10,4.950,
2003-01,4.879,
2003-04,4.824,
2003-07,4.749,
2003-10,4.716,
2004-01,4.664,
2004-04,4.632,
2004-07,4.583,
2004-10,4.520,
2005-01,4.463,
2005-04,4.435,
2005-07,4.454,
2005-10,4.408,
2006-01,4.355,
2006-04,4.367,
2006-07,4.330,
2006-10,4.285,
2007-01,4.265,
2007-04,4.230,
2007-07,4.184,
2007-10,4.138,
2008-01,4.109,
2008-04,4.075,
2008-07,4.045,
2008-10,4.087,
2009-01,4.048,
2009-04,3.802,
2009-07,3.784,
2009-10,3.727,
2010-01,3.697,
2010-04,3.697,
2010-07,3.670,
2010-10,3.671,
2011-01,3.626,
2011-04,3.626,
2011-07,3.640,
2011-10,3.668,
2012-01,3.679,
2012-04,3.719,
2012-07,3.683,
2012-10,3.632,
2013-01,3.618,
2013-04,3.637,
2013-07,3.682,
2013-10,3.755,
2014-01,3.786,
2014-04,3.832,
2014-07,3.827,
