"",BBK01.OEAN03U,BBK01.OEAN03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:20,
2002-01,2.623,
2002-04,2.630,
2002-07,2.608,
2002-10,2.675,
2003-01,2.667,
2003-04,2.633,
2003-07,2.516,
2003-10,2.531,
2004-01,2.429,
2004-04,2.384,
2004-07,2.328,
2004-10,2.317,
2005-01,2.309,
2005-04,2.266,
2005-07,2.317,
2005-10,2.277,
2006-01,2.222,
2006-04,2.140,
2006-07,2.063,
2006-10,2.041,
2007-01,1.977,
2007-04,1.909,
2007-07,1.856,
2007-10,1.848,
2008-01,1.820,
2008-04,1.755,
2008-07,1.709,
2008-10,1.688,
2009-01,1.750,
2009-04,1.821,
2009-07,1.932,
2009-10,2.044,
2010-01,2.082,
2010-04,2.132,
2010-07,2.125,
2010-10,2.109,
2011-01,2.096,
2011-04,2.084,
2011-07,2.085,
2011-10,2.091,
2012-01,2.137,
2012-04,2.177,
2012-07,2.256,
2012-10,2.304,
2013-01,2.584,
2013-04,2.616,
2013-07,2.628,
2013-10,2.648,
2014-01,2.685,
2014-04,2.655,
2014-07,2.665,
