"",BBK01.OXA8E6,BBK01.OXA8E6_FLAGS
"",Medium-term loans (including bills of exchange) to domestic other financial intermediaries  - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:52,
1999-01,6.654,
1999-02,7.380,
1999-03,7.569,
1999-04,7.425,
1999-05,7.478,
1999-06,7.318,
1999-07,7.376,
1999-08,7.369,
1999-09,3.426,
1999-10,3.848,
1999-11,3.224,
1999-12,2.783,
2000-01,2.643,
2000-02,2.524,
2000-03,2.560,
2000-04,2.581,
2000-05,3.219,
2000-06,4.068,
2000-07,6.379,
2000-08,6.541,
2000-09,6.568,
2000-10,6.588,
2000-11,6.468,
2000-12,7.874,
2001-01,7.621,
2001-02,7.623,
2001-03,6.643,
2001-04,4.842,
2001-05,4.924,
2001-06,4.886,
2001-07,5.201,
2001-08,5.557,
2001-09,5.655,
2001-10,5.815,
2001-11,5.953,
2001-12,6.024,
2002-01,4.400,
2002-02,4.812,
2002-03,4.760,
2002-04,4.740,
2002-05,4.817,
2002-06,4.759,
2002-07,4.743,
2002-08,4.838,
2002-09,4.955,
2002-10,4.941,
2002-11,4.718,
2002-12,5.210,
2003-01,5.236,
2003-02,5.208,
2003-03,4.567,
2003-04,4.794,
2003-05,4.573,
2003-06,4.652,
2003-07,4.775,
2003-08,4.856,
2003-09,4.733,
2003-10,4.710,
2003-11,4.668,
2003-12,4.908,
2004-01,4.900,
2004-02,4.987,
2004-03,5.445,
2004-04,5.440,
2004-05,5.184,
2004-06,5.569,
2004-07,5.697,
2004-08,5.807,
2004-09,5.925,
2004-10,6.206,
2004-11,6.198,
2004-12,6.034,
2005-01,6.080,
2005-02,6.134,
2005-03,6.524,
2005-04,6.833,
2005-05,6.953,
2005-06,6.621,
2005-07,6.883,
2005-08,7.234,
2005-09,7.233,
2005-10,7.196,
2005-11,8.184,
2005-12,9.184,
2006-01,9.358,
2006-02,10.004,
2006-03,9.906,
2006-04,9.826,
2006-05,10.312,
2006-06,10.462,
2006-07,10.799,
2006-08,10.857,
2006-09,10.663,
2006-10,10.469,
2006-11,10.558,
2006-12,10.165,
2007-01,13.551,
2007-02,13.265,
2007-03,13.133,
2007-04,13.195,
2007-05,13.903,
2007-06,13.927,
2007-07,13.865,
2007-08,15.165,
2007-09,15.388,
2007-10,15.173,
2007-11,16.117,
2007-12,15.909,
2008-01,16.122,
2008-02,16.280,
2008-03,16.170,
2008-04,15.622,
2008-05,15.750,
2008-06,16.033,
2008-07,15.777,
2008-08,15.945,
2008-09,16.178,
2008-10,15.326,
2008-11,15.489,
2008-12,16.163,
2009-01,15.508,
2009-02,17.741,
2009-03,15.067,
2009-04,16.283,
2009-05,17.335,
2009-06,19.324,
2009-07,20.188,
2009-08,20.777,
2009-09,19.797,
2009-10,19.980,
2009-11,20.746,
2009-12,23.028,
2010-01,23.453,
2010-02,24.493,
2010-03,24.161,
2010-04,24.842,
2010-05,24.758,
2010-06,25.567,
2010-07,26.161,
2010-08,26.110,
2010-09,26.306,
2010-10,26.692,
2010-11,27.418,
2010-12,27.593,
2011-01,28.034,
2011-02,28.189,
2011-03,28.943,
2011-04,28.820,
2011-05,29.677,
2011-06,29.312,
2011-07,29.999,
2011-08,32.051,
2011-09,32.378,
2011-10,32.630,
2011-11,32.781,
2011-12,33.822,
2012-01,33.485,
2012-02,34.303,
2012-03,34.376,
2012-04,34.992,
2012-05,34.767,
2012-06,34.691,
2012-07,34.567,
2012-08,34.649,
2012-09,34.719,
2012-10,34.920,
2012-11,35.171,
2012-12,34.376,
2013-01,34.631,
2013-02,35.345,
2013-03,35.653,
2013-04,36.063,
2013-05,36.959,
2013-06,36.436,
2013-07,36.276,
2013-08,33.482,
2013-09,33.315,
2013-10,33.083,
2013-11,33.827,
2013-12,34.116,
2014-01,34.353,
2014-02,34.521,
2014-03,34.577,
2014-04,34.685,
2014-05,34.384,
2014-06,34.370,
2014-07,35.033,
2014-08,35.126,
2014-09,34.732,
2014-10,34.834,
2014-11,35.305,
2014-12,38.090,Provisional value
