"",BBFB1.Q.N.DE.SI.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:42,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,2.807,
1992-07,5.105,
1992-10,6.342,
1993-01,4.991,
1993-04,7.207,
1993-07,6.530,
1993-10,6.311,
1994-01,4.261,
1994-04,9.450,
1994-07,7.476,
1994-10,5.730,
1995-01,8.147,
1995-04,6.245,
1995-07,7.945,
1995-10,5.827,
1996-01,5.381,
1996-04,7.400,
1996-07,9.790,
1996-10,5.477,
1997-01,6.719,
1997-04,7.814,
1997-07,8.866,
1997-10,7.398,
1998-01,6.138,
1998-04,8.331,
1998-07,7.678,
1998-10,9.461,
1999-01,11.414,
1999-04,10.660,
1999-07,13.769,
1999-10,13.193,
2000-01,15.712,
2000-04,16.441,
2000-07,16.786,
2000-10,16.502,
2001-01,17.111,
2001-04,17.872,
2001-07,15.824,
2001-10,16.297,
2002-01,14.553,
2002-04,14.655,
2002-07,13.584,
2002-10,10.262,
2003-01,8.569,
2003-04,9.781,
2003-07,9.377,
2003-10,8.304,
2004-01,8.572,
2004-04,9.954,
2004-07,9.675,
2004-10,11.050,
2005-01,5.752,
2005-04,8.047,
2005-07,5.150,
2005-10,4.540,
2006-01,8.308,
2006-04,10.050,
2006-07,13.261,
2006-10,12.074,
2007-01,14.218,
2007-04,15.730,
2007-07,21.993,
2007-10,18.095,
2008-01,19.783,
2008-04,16.693,
2008-07,16.722,
2008-10,16.373,
2009-01,13.393,
2009-04,6.388,
2009-07,-0.695,
2009-10,-9.267,
2010-01,6.150,
2010-04,7.913,
2010-07,6.357,
2010-10,7.656,
2011-01,4.210,
2011-04,7.293,
2011-07,8.314,
2011-10,8.902,
2012-01,0.825,
2012-04,2.735,
2012-07,3.677,
2012-10,5.649,
2013-01,10.264,
2013-04,13.747,
2013-07,12.248,
2013-10,22.985,
2014-01,6.975,Provisional value
2014-04,7.761,Provisional value
2014-07,7.154,Provisional value
