"",BBFN1.M.DE.N.1.L.B0.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from credit terms used / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:24,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,12.408,
1995-02,12.484,
1995-03,13.427,
1995-04,13.167,
1995-05,13.663,
1995-06,14.215,
1995-07,13.226,
1995-08,12.702,
1995-09,13.965,
1995-10,14.099,
1995-11,14.501,
1995-12,13.702,
1996-01,13.049,
1996-02,13.099,
1996-03,13.698,
1996-04,13.146,
1996-05,13.158,
1996-06,13.041,
1996-07,12.830,
1996-08,11.874,
1996-09,13.265,
1996-10,13.104,
1996-11,13.239,
1996-12,13.492,
1997-01,12.875,
1997-02,12.775,
1997-03,13.314,
1997-04,13.840,
1997-05,13.730,
1997-06,13.588,
1997-07,13.541,
1997-08,12.133,
1997-09,14.084,
1997-10,14.235,
1997-11,15.426,
1997-12,14.581,
1998-01,13.377,
1998-02,13.776,
1998-03,14.919,
1998-04,14.350,
1998-05,14.335,
1998-06,14.856,
1998-07,14.424,
1998-08,12.866,
1998-09,15.910,
1998-10,14.937,
1998-11,14.720,
1998-12,14.655,
1999-01,13.561,
1999-02,13.491,
1999-03,15.187,
1999-04,14.728,
1999-05,14.518,
1999-06,15.201,
1999-07,14.849,
1999-08,13.790,
1999-09,15.445,
1999-10,15.494,
1999-11,15.764,
1999-12,16.903,
2000-01,16.050,
2000-02,16.974,
2000-03,17.963,
2000-04,17.332,
2000-05,17.688,
2000-06,18.540,
2000-07,17.756,
2000-08,17.305,
2000-09,18.951,
2000-10,19.329,
2000-11,20.576,
2000-12,19.804,
2001-01,18.897,
2001-02,18.359,
2001-03,19.310,
2001-04,18.044,
2001-05,18.948,
2001-06,19.717,
2001-07,18.371,
2001-08,17.468,
2001-09,18.457,
2001-10,19.490,
2001-11,19.553,
2001-12,20.723,
2002-01,18.593,
2002-02,18.566,
2002-03,19.188,
2002-04,18.821,
2002-05,18.410,
2002-06,19.168,
2002-07,18.994,
2002-08,17.686,
2002-09,19.065,
2002-10,19.637,
2002-11,19.710,
2002-12,20.607,
2003-01,18.822,
2003-02,18.617,
2003-03,19.926,
2003-04,18.728,
2003-05,17.843,
2003-06,18.975,
2003-07,18.436,
2003-08,16.205,
2003-09,18.017,
2003-10,18.682,
2003-11,17.878,
2003-12,18.605,
2004-01,17.210,
2004-02,16.785,
2004-03,18.536,
2004-04,16.660,
2004-05,19.522,
2004-06,20.495,
2004-07,20.425,
2004-08,19.497,
2004-09,21.953,
2004-10,22.183,
2004-11,22.230,
2004-12,21.925,
2005-01,19.564,
2005-02,19.940,
2005-03,21.188,
2005-04,21.125,
2005-05,20.547,
2005-06,22.588,
2005-07,22.733,
2005-08,22.015,
2005-09,24.806,
2005-10,24.000,
2005-11,24.701,
2005-12,25.428,
2006-01,24.249,
2006-02,24.259,
2006-03,26.056,
2006-04,24.568,
2006-05,24.639,
2006-06,25.398,
2006-07,24.292,
2006-08,23.145,
2006-09,24.870,
2006-10,25.984,
2006-11,26.508,
2006-12,27.146,
2007-01,26.314,
2007-02,25.948,
2007-03,29.022,
2007-04,26.968,
2007-05,26.481,
2007-06,27.339,
2007-07,26.231,
2007-08,24.551,
2007-09,27.616,
2007-10,28.447,
2007-11,28.173,
2007-12,27.327,
2008-01,26.926,
2008-02,28.439,
2008-03,28.893,
2008-04,29.565,
2008-05,29.630,
2008-06,28.923,
2008-07,28.770,
2008-08,26.546,
2008-09,29.178,
2008-10,28.155,
2008-11,27.740,
2008-12,25.102,
2009-01,22.629,
2009-02,21.575,
2009-03,23.777,
2009-04,21.629,
2009-05,21.534,
2009-06,23.882,
2009-07,23.512,
2009-08,20.973,
2009-09,23.692,
2009-10,23.576,
2009-11,24.199,
2009-12,25.152,
2010-01,22.696,
2010-02,24.138,
2010-03,25.974,
2010-04,24.972,
2010-05,25.591,
2010-06,27.536,
2010-07,26.261,
2010-08,24.140,
2010-09,28.184,
2010-10,27.681,
2010-11,27.710,
2010-12,28.965,
2011-01,26.781,
2011-02,27.668,
2011-03,28.780,
2011-04,27.951,
2011-05,27.704,
2011-06,29.697,
2011-07,28.474,
2011-08,25.434,
2011-09,29.570,
2011-10,29.080,
2011-11,29.155,
2011-12,28.529,
2012-01,25.227,
2012-02,27.069,
2012-03,27.935,
2012-04,26.406,
2012-05,27.548,
2012-06,28.473,
2012-07,27.281,
2012-08,25.064,
2012-09,27.860,
2012-10,28.683,
2012-11,29.197,
2012-12,30.380,
2013-01,28.191,
2013-02,28.533,
2013-03,29.118,
2013-04,27.387,
2013-05,28.184,
2013-06,28.067,
2013-07,27.389,
2013-08,27.073,
2013-09,29.903,
2013-10,29.634,
2013-11,29.192,
2013-12,28.702,
2014-01,26.479,
2014-02,28.422,
2014-03,29.465,
2014-04,28.053,
2014-05,28.243,
2014-06,29.483,
2014-07,29.701,
2014-08,26.516,
2014-09,30.793,
2014-10,30.358,
2014-11,31.016,
2014-12,28.930,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
