"",BBK01.OEAC08J,BBK01.OEAC08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:20,
2002-01,0.314,
2002-04,0.305,
2002-07,0.266,
2002-10,0.279,
2003-01,0.263,
2003-04,0.244,
2003-07,0.473,
2003-10,0.436,
2004-01,0.231,
2004-04,0.235,
2004-07,0.302,
2004-10,0.769,
2005-01,0.260,
2005-04,0.337,
2005-07,0.243,
2005-10,0.220,
2006-01,0.247,
2006-04,0.206,
2006-07,0.184,
2006-10,0.158,
2007-01,0.176,
2007-04,0.171,
2007-07,0.184,
2007-10,0.193,
2008-01,0.238,
2008-04,0.335,
2008-07,0.391,
2008-10,0.606,
2009-01,0.592,
2009-04,0.606,
2009-07,0.644,
2009-10,0.666,
2010-01,0.613,
2010-04,0.661,
2010-07,0.653,
2010-10,0.653,
2011-01,0.655,
2011-04,0.649,
2011-07,0.619,
2011-10,0.630,
2012-01,0.638,
2012-04,0.617,
2012-07,0.650,
2012-10,0.579,
2013-01,0.572,
2013-04,0.575,
2013-07,0.588,
2013-10,0.573,
2014-01,0.593,
2014-04,0.634,
2014-07,0.656,
