"",BBK01.OEBM08H,BBK01.OEBM08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:03,
2002-01,0.025,
2002-04,0.024,
2002-07,0.014,
2002-10,0.018,
2003-01,0.025,
2003-04,0.016,
2003-07,0.131,
2003-10,0.125,
2004-01,0.222,
2004-04,0.273,
2004-07,0.355,
2004-10,0.521,
2005-01,0.399,
2005-04,0.505,
2005-07,0.807,
2005-10,0.251,
2006-01,0.187,
2006-04,0.251,
2006-07,0.315,
2006-10,0.169,
2007-01,0.274,
2007-04,0.125,
2007-07,0.017,
2007-10,0.014,
2008-01,0.012,
2008-04,0.006,
2008-07,0.006,
2008-10,0.009,
2009-01,0.019,
2009-04,0.032,
2009-07,0.081,
2009-10,0.112,
2010-01,0.121,
2010-04,0.158,
2010-07,0.175,
2010-10,0.158,
2011-01,0.172,
2011-04,0.101,
2011-07,0.055,
2011-10,0.036,
2012-01,0.045,
2012-04,0.053,
2012-07,0.120,
2012-10,0.124,
2013-01,0.141,
2013-04,0.145,
2013-07,0.143,
2013-10,0.132,
2014-01,0.118,
2014-04,0.115,
2014-07,0.109,
