"",BBK01.OEXB16K,BBK01.OEXB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:32,
2002-01,1.279,
2002-04,1.277,
2002-07,1.233,
2002-10,1.183,
2003-01,1.158,
2003-04,1.121,
2003-07,1.070,
2003-10,1.059,
2004-01,1.046,
2004-04,1.046,
2004-07,1.037,
2004-10,0.449,
2005-01,0.459,
2005-04,0.453,
2005-07,0.462,
2005-10,0.465,
2006-01,0.480,
2006-04,0.466,
2006-07,0.457,
2006-10,0.465,
2007-01,0.452,
2007-04,0.456,
2007-07,0.458,
2007-10,0.452,
2008-01,0.451,
2008-04,0.506,
2008-07,0.519,
2008-10,0.531,
2009-01,0.543,
2009-04,0.552,
2009-07,0.582,
2009-10,0.578,
2010-01,0.590,
2010-04,0.624,
2010-07,0.625,
2010-10,0.851,
2011-01,0.854,
2011-04,0.860,
2011-07,0.871,
2011-10,0.902,
2012-01,0.910,
2012-04,0.939,
2012-07,0.930,
2012-10,0.965,
2013-01,0.985,
2013-04,0.961,
2013-07,0.973,
2013-10,0.965,
2014-01,0.973,
2014-04,1.009,
2014-07,1.005,
