"",BBK01.OEHL06H,BBK01.OEHL06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:01,
2002-01,9.406,
2002-04,9.542,
2002-07,9.574,
2002-10,9.449,
2003-01,9.233,
2003-04,9.015,
2003-07,8.835,
2003-10,8.962,
2004-01,8.943,
2004-04,8.921,
2004-07,8.884,
2004-10,8.999,
2005-01,8.831,
2005-04,8.721,
2005-07,8.500,
2005-10,8.566,
2006-01,8.941,
2006-04,9.375,
2006-07,9.786,
2006-10,10.486,
2007-01,11.517,
2007-04,12.293,
2007-07,13.130,
2007-10,13.973,
2008-01,14.525,
2008-04,15.102,
2008-07,15.817,
2008-10,16.012,
2009-01,14.296,
2009-04,12.301,
2009-07,10.557,
2009-10,10.121,
2010-01,9.666,
2010-04,8.857,
2010-07,8.440,
2010-10,8.436,
2011-01,8.571,
2011-04,8.901,
2011-07,8.885,
2011-10,8.991,
2012-01,8.574,
2012-04,8.057,
2012-07,7.461,
2012-10,6.771,
2013-01,6.140,
2013-04,5.646,
2013-07,5.399,
2013-10,5.149,
2014-01,4.828,
2014-04,4.545,
2014-07,4.295,
