"",BBK01.OELO04L,BBK01.OELO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:56,
2002-01,-0.239,
2002-04,-0.146,
2002-07,-0.095,
2002-10,0.009,
2003-01,0.008,
2003-04,-0.106,
2003-07,-0.091,
2003-10,0.157,
2004-01,0.119,
2004-04,0.044,
2004-07,-0.066,
2004-10,0.007,
2005-01,-0.047,
2005-04,-0.101,
2005-07,-0.161,
2005-10,-0.192,
2006-01,-0.134,
2006-04,0.050,
2006-07,-0.195,
2006-10,-0.344,
2007-01,-0.574,
2007-04,-0.450,
2007-07,-0.536,
2007-10,-0.820,
2008-01,-0.870,
2008-04,-0.755,
2008-07,-0.742,
2008-10,-0.370,
2009-01,0.396,
2009-04,0.489,
2009-07,0.422,
2009-10,0.629,
2010-01,0.423,
2010-04,-0.002,
2010-07,-0.038,
2010-10,-0.088,
2011-01,-0.013,
2011-04,0.058,
2011-07,-0.177,
2011-10,-0.267,
2012-01,-0.212,
2012-04,-0.233,
2012-07,-0.263,
2012-10,-0.212,
2013-01,-0.118,
2013-04,-0.111,
2013-07,-0.109,
2013-10,-0.091,
2014-01,-0.227,
2014-04,-0.256,
2014-07,-0.278,
