"",BBFN1.M.DE.N.1.L.U2.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:08,
1995-01,70.034,
1995-02,70.288,
1995-03,72.487,
1995-04,72.005,
1995-05,73.659,
1995-06,73.385,
1995-07,72.966,
1995-08,72.346,
1995-09,74.921,
1995-10,75.366,
1995-11,76.963,
1995-12,74.239,
1996-01,72.709,
1996-02,75.816,
1996-03,75.013,
1996-04,74.359,
1996-05,74.405,
1996-06,74.431,
1996-07,72.507,
1996-08,71.735,
1996-09,75.712,
1996-10,75.477,
1996-11,78.304,
1996-12,78.370,
1997-01,74.758,
1997-02,77.526,
1997-03,80.016,
1997-04,80.383,
1997-05,81.848,
1997-06,83.281,
1997-07,84.054,
1997-08,82.124,
1997-09,86.005,
1997-10,87.688,
1997-11,87.245,
1997-12,90.820,
1998-01,90.142,
1998-02,91.618,
1998-03,95.530,
1998-04,94.936,
1998-05,95.596,
1998-06,95.411,
1998-07,98.049,
1998-08,95.844,
1998-09,99.541,
1998-10,101.743,
1998-11,101.025,
1998-12,101.014,
1999-01,101.918,
1999-02,102.844,
1999-03,106.225,
1999-04,107.553,
1999-05,111.777,
1999-06,117.313,
1999-07,123.194,
1999-08,125.066,
1999-09,127.970,
1999-10,132.992,
1999-11,133.560,
1999-12,151.179,
2000-01,156.005,
2000-02,158.277,
2000-03,160.486,
2000-04,153.846,
2000-05,152.396,
2000-06,160.419,
2000-07,172.369,
2000-08,184.273,
2000-09,206.277,
2000-10,209.833,
2000-11,206.835,
2000-12,247.830,
2001-01,251.145,
2001-02,251.992,
2001-03,255.755,
2001-04,257.102,
2001-05,261.080,
2001-06,270.500,
2001-07,278.744,
2001-08,279.745,
2001-09,288.169,
2001-10,288.290,
2001-11,291.764,
2001-12,295.943,
2002-01,301.587,
2002-02,308.785,
2002-03,302.678,
2002-04,308.938,
2002-05,329.594,
2002-06,327.423,
2002-07,328.394,
2002-08,326.723,
2002-09,332.227,
2002-10,335.225,
2002-11,336.807,
2002-12,331.733,
2003-01,331.585,
2003-02,334.213,
2003-03,328.097,
2003-04,330.387,
2003-05,335.950,
2003-06,341.392,
2003-07,342.583,
2003-08,342.750,
2003-09,342.882,
2003-10,343.318,
2003-11,348.348,
2003-12,338.794,
2004-01,341.329,
2004-02,313.682,
2004-03,322.681,
2004-04,317.976,
2004-05,322.927,
2004-06,327.605,
2004-07,329.069,
2004-08,324.685,
2004-09,321.509,
2004-10,314.309,
2004-11,312.154,
2004-12,305.864,
2005-01,307.084,
2005-02,309.669,
2005-03,312.147,
2005-04,311.548,
2005-05,314.259,
2005-06,315.953,
2005-07,309.986,
2005-08,309.063,
2005-09,312.099,
2005-10,322.574,
2005-11,324.003,
2005-12,332.261,
2006-01,332.197,
2006-02,341.634,
2006-03,345.003,
2006-04,344.595,
2006-05,354.313,
2006-06,356.714,
2006-07,355.886,
2006-08,360.502,
2006-09,372.489,
2006-10,372.008,
2006-11,374.966,
2006-12,369.648,
2007-01,380.145,
2007-02,382.363,
2007-03,383.597,
2007-04,383.721,
2007-05,381.848,
2007-06,387.391,
2007-07,387.885,
2007-08,384.440,
2007-09,386.358,
2007-10,382.159,
2007-11,380.288,
2007-12,367.318,
2008-01,377.099,
2008-02,384.007,
2008-03,384.419,
2008-04,395.439,
2008-05,397.145,
2008-06,394.369,
2008-07,393.127,
2008-08,389.707,
2008-09,400.992,
2008-10,402.273,
2008-11,407.773,
2008-12,415.221,
2009-01,422.858,
2009-02,434.586,
2009-03,436.733,
2009-04,438.402,
2009-05,440.833,
2009-06,447.697,
2009-07,447.552,
2009-08,447.966,
2009-09,451.506,
2009-10,453.297,
2009-11,452.534,
2009-12,466.064,
2010-01,456.035,
2010-02,458.330,
2010-03,460.310,
2010-04,462.270,
2010-05,467.962,
2010-06,470.714,
2010-07,475.775,
2010-08,482.475,
2010-09,490.918,
2010-10,482.547,
2010-11,487.242,
2010-12,497.433,
2011-01,497.773,
2011-02,496.127,
2011-03,497.844,
2011-04,501.843,
2011-05,509.968,
2011-06,519.100,
2011-07,533.665,
2011-08,532.411,
2011-09,546.793,
2011-10,530.982,
2011-11,531.117,
2011-12,529.244,
2012-01,537.000,
2012-02,536.991,
2012-03,541.751,
2012-04,546.009,
2012-05,555.783,
2012-06,560.861,
2012-07,554.467,
2012-08,549.339,
2012-09,563.817,
2012-10,567.327,
2012-11,574.047,
2012-12,572.475,
2013-01,573.743,
2013-02,570.213,
2013-03,591.068,
2013-04,611.893,
2013-05,614.036,
2013-06,618.628,
2013-07,613.315,
2013-08,606.319,
2013-09,612.921,
2013-10,616.185,
2013-11,614.998,
2013-12,593.680,
2014-01,597.264,
2014-02,601.100,
2014-03,605.819,
2014-04,610.101,
2014-05,611.353,
2014-06,624.697,
2014-07,628.882,
2014-08,620.618,
2014-09,609.169,
2014-10,603.879,
2014-11,613.245,
2014-12,589.111,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
