"",BBEX3.A.ERN.EUR.CA.AA.A04,BBEX3.A.ERN.EUR.CA.AA.A04_FLAGS
"",Exchange rates for the euro in Eritrea / EUR 1 = ERN ... (buying),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:52,
1999,8.7015,comment
2000,8.9171,
2001,10.1227,comment
2002,12.9738,
2003,14.9942,
2004,16.9436,
2005,18.5995,
2006,18.8640,
2007,20.6274,
2008,22.1281,
2009,20.9101,
2010,19.7789,
2011,20.9264,
2012,19.3804,
2013,19.9754,
2014,19.8556,
"","Source: Bank of Eritrea, Asmara.",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1999: On 15 November 1999, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  12 November 1999: EUR 1 = ERN 8.4276 / 8.6383  15 November 1999: EUR 1 = ERN 9.9464 / 10.1558.  Calculated devaluation:15.1% (middle rate).",
"","Comment on 2001: On 10 September 2001, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  7 September 2001: EUR 1 = ERN 9.0494 / 9.1382  10 September 2001: EUR 1 = ERN 12.1718 / 12.4900.  Calculated devaluation:26.3% (middle rate).",
