"",BBK01.OECB14G,BBK01.OECB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:47,
2002-01,0.797,
2002-04,0.806,
2002-07,0.785,
2002-10,0.720,
2003-01,0.627,
2003-04,0.609,
2003-07,0.640,
2003-10,0.561,
2004-01,0.537,
2004-04,0.504,
2004-07,0.484,
2004-10,0.455,
2005-01,0.499,
2005-04,0.487,
2005-07,0.439,
2005-10,0.437,
2006-01,0.435,
2006-04,0.433,
2006-07,0.441,
2006-10,0.403,
2007-01,0.406,
2007-04,0.383,
2007-07,0.370,
2007-10,0.402,
2008-01,0.358,
2008-04,0.348,
2008-07,0.324,
2008-10,0.350,
2009-01,0.292,
2009-04,0.282,
2009-07,0.279,
2009-10,0.276,
2010-01,0.264,
2010-04,0.270,
2010-07,0.265,
2010-10,0.255,
2011-01,0.263,
2011-04,0.254,
2011-07,0.255,
2011-10,0.257,
2012-01,0.309,
2012-04,0.288,
2012-07,0.317,
2012-10,0.293,
2013-01,0.292,
2013-04,0.269,
2013-07,0.269,
2013-10,0.284,
2014-01,0.278,
2014-04,0.291,
2014-07,0.286,
