"",BBK01.SUD102S,BBK01.SUD102S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Households' deposits with an agreed maturity of up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:52,
2000-01,3.1747,Estimated value
2000-02,3.2306,Estimated value
2000-03,3.3983,Estimated value
2000-04,3.5101,Estimated value
2000-05,3.8342,Estimated value
2000-06,4.0913,Estimated value
2000-07,4.2031,Estimated value
2000-08,4.2926,Estimated value
2000-09,4.4714,Estimated value
2000-10,4.6167,Estimated value
2000-11,4.7173,Estimated value
2000-12,4.6838,Estimated value
2001-01,4.5385,Estimated value
2001-02,4.4826,Estimated value
2001-03,4.5273,Estimated value
2001-04,4.4602,Estimated value
2001-05,4.4155,Estimated value
2001-06,4.2926,Estimated value
2001-07,4.2814,Estimated value
2001-08,4.2031,Estimated value
2001-09,3.8790,Estimated value
2001-10,3.4877,Estimated value
2001-11,3.1635,Estimated value
2001-12,3.1076,Estimated value
2002-01,3.0853,Estimated value
2002-02,3.0741,Estimated value
2002-03,3.0965,Estimated value
2002-04,3.1076,Estimated value
2002-05,3.1188,Estimated value
2002-06,3.1635,Estimated value
2002-07,3.1412,Estimated value
2002-08,3.0965,Estimated value
2002-09,3.0629,Estimated value
2002-10,3.0406,Estimated value
2002-11,2.9623,Estimated value
2002-12,2.6940,Estimated value
