"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:36,
1991-01,75.035,
1991-04,-142.168,
1991-07,-28.560,
1991-10,-67.686,
1992-01,-46.320,
1992-04,177.605,
1992-07,74.335,
1992-10,-69.278,
1993-01,55.051,
1993-04,-72.632,
1993-07,-10.294,
1993-10,148.129,
1994-01,-73.803,
1994-04,114.655,
1994-07,128.641,
1994-10,-12.105,
1995-01,154.804,
1995-04,89.096,
1995-07,-115.896,
1995-10,-22.553,
1996-01,-54.227,
1996-04,177.595,
1996-07,379.355,
1996-10,-294.742,
1997-01,439.851,
1997-04,-221.698,
1997-07,38.386,
1997-10,75.538,
1998-01,-49.274,
1998-04,291.272,
1998-07,-593.692,
1998-10,239.728,
1999-01,215.092,
1999-04,116.607,
1999-07,-202.559,
1999-10,5.113,
2000-01,595.925,
2000-04,-170.305,
2000-07,358.592,
2000-10,-655.232,
2001-01,-130.343,
2001-04,149.226,
2001-07,-72.547,
2001-10,-5.547,
2002-01,311.298,
2002-04,-555.756,
2002-07,236.356,
2002-10,152.156,
2003-01,-228.170,
2003-04,415.266,
2003-07,1002.064,
2003-10,-431.480,
2004-01,697.892,
2004-04,-18.832,
2004-07,-718.345,
2004-10,-212.193,
2005-01,1022.625,
2005-04,-582.455,
2005-07,22.495,
2005-10,-305.408,
2006-01,-134.419,
2006-04,232.905,
2006-07,-162.448,
2006-10,410.362,
2007-01,-238.855,
2007-04,355.206,
2007-07,577.904,
2007-10,-660.384,
2008-01,161.487,
2008-04,23.676,
2008-07,-17.924,
2008-10,-104.948,
2009-01,24.059,
2009-04,141.093,
2009-07,-311.612,
2009-10,-416.891,
2010-01,561.258,
2010-04,997.998,
2010-07,615.332,
2010-10,399.426,
2011-01,-284.206,
2011-04,265.024,
2011-07,-227.251,
2011-10,386.605,
2012-01,361.281,
2012-04,-409.528,
2012-07,403.985,
2012-10,-722.014,
2013-01,423.501,
2013-04,-1896.339,
2013-07,150.842,
2013-10,-1071.449,
2014-01,-235.688,Provisional value
2014-04,359.892,Provisional value
2014-07,-183.219,Provisional value
2014-10,-318.532,Provisional value
