"",BBK01.OEXB04O,BBK01.OEXB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:09,
2002-01,-33.890,
2002-04,-34.734,
2002-07,-35.266,
2002-10,-35.504,
2003-01,-33.830,
2003-04,-34.943,
2003-07,-34.878,
2003-10,-34.553,
2004-01,-34.105,
2004-04,-35.481,
2004-07,-36.561,
2004-10,-34.685,
2005-01,2.592,
2005-04,2.637,
2005-07,2.661,
2005-10,2.687,
2006-01,2.670,
2006-04,2.547,
2006-07,2.583,
2006-10,2.628,
2007-01,2.624,
2007-04,2.627,
2007-07,2.618,
2007-10,2.596,
2008-01,2.607,
2008-04,2.636,
2008-07,2.625,
2008-10,2.598,
2009-01,3.480,
2009-04,3.099,
2009-07,3.099,
2009-10,3.063,
2010-01,2.733,
2010-04,2.725,
2010-07,2.983,
2010-10,2.987,
2011-01,2.752,
2011-04,2.754,
2011-07,2.787,
2011-10,2.771,
2012-01,2.803,
2012-04,2.857,
2012-07,2.872,
2012-10,2.911,
2013-01,2.949,
2013-04,3.002,
2013-07,3.056,
2013-10,3.079,
2014-01,3.123,
2014-04,3.181,
2014-07,3.222,
