"",BBDE1.Q.DE.Y.LCC1.N2C000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.N2C000000.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Section C - Manufacturing / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:21,
1996-01,76.937,
1996-04,75.402,
1996-07,77.666,
1996-10,79.690,
1997-01,80.402,
1997-04,77.601,
1997-07,79.182,
1997-10,80.187,
1998-01,79.357,
1998-04,79.901,
1998-07,80.857,
1998-10,82.638,
1999-01,82.216,
1999-04,82.468,
1999-07,82.094,
1999-10,83.072,
2000-01,89.514,
2000-04,90.470,
2000-07,91.563,
2000-10,93.499,
2001-01,93.508,
2001-04,94.309,
2001-07,94.715,
2001-10,95.006,
2002-01,99.662,
2002-04,97.092,
2002-07,98.312,
2002-10,97.822,
2003-01,99.755,
2003-04,100.480,
2003-07,100.594,
2003-10,99.822,
2004-01,101.080,
2004-04,101.486,
2004-07,100.381,
2004-10,99.719,
2005-01,100.482,
2005-04,98.013,
2005-07,96.607,
2005-10,98.280,
2006-01,104.241,
2006-04,103.771,
2006-07,105.043,
2006-10,104.864,
2007-01,98.183,
2007-04,98.620,
2007-07,97.647,
2007-10,98.319,
2008-01,99.039,
2008-04,96.884,
2008-07,99.810,
2008-10,104.267,
2009-01,102.567,
2009-04,103.208,
2009-07,103.135,
2009-10,101.992,
2010-01,103.922,
2010-04,103.362,
2010-07,103.823,
2010-10,104.101,
2011-01,107.751,
2011-04,108.338,
2011-07,106.910,
2011-10,108.475,
2012-01,106.152,
2012-04,109.022,
2012-07,108.759,
2012-10,109.603,
2013-01,118.572,
2013-04,114.102,
2013-07,113.627,
2013-10,115.877,
2014-01,116.038,
2014-04,118.930,
2014-07,117.105,
