"",BBFN1.M.DE.N.1.A.IT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1999-12,1.502,
2000-01,1.521,
2000-02,1.586,
2000-03,1.579,
2000-04,1.497,
2000-05,1.469,
2000-06,1.554,
2000-07,1.510,
2000-08,1.513,
2000-09,1.512,
2000-10,1.518,
2000-11,2.026,
2000-12,1.935,
2001-01,1.928,
2001-02,1.770,
2001-03,1.796,
2001-04,1.701,
2001-05,1.706,
2001-06,1.971,
2001-07,1.984,
2001-08,1.988,
2001-09,1.911,
2001-10,1.987,
2001-11,2.191,
2001-12,2.150,
2002-01,2.148,
2002-02,2.153,
2002-03,2.105,
2002-04,1.984,
2002-05,1.688,
2002-06,1.661,
2002-07,1.539,
2002-08,1.499,
2002-09,1.493,
2002-10,1.498,
2002-11,1.482,
2002-12,1.206,
2003-01,1.202,
2003-02,1.263,
2003-03,1.255,
2003-04,1.248,
2003-05,1.348,
2003-06,1.344,
2003-07,1.362,
2003-08,1.381,
2003-09,1.375,
2003-10,1.480,
2003-11,1.408,
2003-12,0.851,
2004-01,0.835,
2004-02,0.767,
2004-03,0.750,
2004-04,0.744,
2004-05,0.743,
2004-06,0.758,
2004-07,0.746,
2004-08,0.756,
2004-09,0.795,
2004-10,0.815,
2004-11,0.792,
2004-12,0.980,
2005-01,0.987,
2005-02,0.974,
2005-03,1.083,
2005-04,1.033,
2005-05,1.033,
2005-06,2.174,
2005-07,2.181,
2005-08,2.084,
2005-09,2.038,
2005-10,2.042,
2005-11,2.001,
2005-12,2.111,
2006-01,2.128,
2006-02,2.169,
2006-03,2.183,
2006-04,2.179,
2006-05,2.181,
2006-06,2.844,
2006-07,2.911,
2006-08,2.903,
2006-09,2.728,
2006-10,2.716,
2006-11,2.829,
2006-12,3.017,
2007-01,3.069,
2007-02,3.069,
2007-03,3.074,
2007-04,3.544,
2007-05,3.576,
2007-06,3.585,
2007-07,3.587,
2007-08,2.700,
2007-09,2.732,
2007-10,2.740,
2007-11,2.767,
2007-12,2.760,
2008-01,2.825,
2008-02,3.003,
2008-03,3.027,
2008-04,3.026,
2008-05,3.140,
2008-06,2.840,
2008-07,2.909,
2008-08,2.965,
2008-09,2.958,
2008-10,3.025,
2008-11,3.029,
2008-12,3.111,
2009-01,3.114,
2009-02,3.161,
2009-03,3.441,
2009-04,3.408,
2009-05,3.349,
2009-06,3.477,
2009-07,3.658,
2009-08,3.856,
2009-09,3.975,
2009-10,3.970,
2009-11,3.922,
2009-12,7.106,
2010-01,7.146,
2010-02,7.137,
2010-03,7.187,
2010-04,6.814,
2010-05,6.858,
2010-06,6.810,
2010-07,6.931,
2010-08,6.959,
2010-09,7.232,
2010-10,7.393,
2010-11,7.469,
2010-12,7.332,
2011-01,7.387,
2011-02,7.606,
2011-03,7.682,
2011-04,7.594,
2011-05,7.919,
2011-06,7.986,
2011-07,8.008,
2011-08,8.057,
2011-09,7.519,
2011-10,7.471,
2011-11,6.682,
2011-12,6.556,
2012-01,6.561,
2012-02,6.592,
2012-03,6.635,
2012-04,6.756,
2012-05,6.796,
2012-06,7.734,
2012-07,7.948,
2012-08,7.959,
2012-09,7.877,
2012-10,6.255,
2012-11,6.271,
2012-12,5.923,
2013-01,6.059,
2013-02,5.979,
2013-03,6.107,
2013-04,6.256,
2013-05,7.090,
2013-06,7.394,
2013-07,7.589,
2013-08,7.480,
2013-09,7.590,
2013-10,7.603,
2013-11,8.808,
2013-12,8.883,
2014-01,8.709,
2014-02,8.603,
2014-03,8.629,
2014-04,7.618,
2014-05,7.517,
2014-06,7.491,
2014-07,7.382,
2014-08,7.441,
2014-09,7.476,
2014-10,7.346,
2014-11,7.383,
2014-12,7.266,
