"",BBFB1.M.N.DE.W1.S1.S1.T.D.SI._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SI._Z._Z._Z._T._X.N_FLAGS
"","Current account / Telecommunications, computer and information services / Expenditure / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:48,
1991-01,138.677,
1991-02,225.989,
1991-03,127.942,
1991-04,132.468,
1991-05,204.555,
1991-06,98.497,
1991-07,121.942,
1991-08,140.514,
1991-09,85.471,
1991-10,124.689,
1991-11,180.978,
1991-12,248.916,
1992-01,210.034,
1992-02,267.102,
1992-03,125.600,
1992-04,167.508,
1992-05,87.205,
1992-06,308.817,
1992-07,157.711,
1992-08,212.820,
1992-09,192.404,
1992-10,448.141,
1992-11,166.497,
1992-12,319.791,
1993-01,159.371,
1993-02,163.663,
1993-03,132.938,
1993-04,162.215,
1993-05,143.749,
1993-06,125.818,
1993-07,207.736,
1993-08,139.342,
1993-09,133.913,
1993-10,160.521,
1993-11,126.258,
1993-12,209.974,
1994-01,217.470,
1994-02,144.135,
1994-03,202.741,
1994-04,156.964,
1994-05,185.047,
1994-06,124.636,
1994-07,186.194,
1994-08,124.269,
1994-09,190.631,
1994-10,202.217,
1994-11,112.682,
1994-12,205.156,
1995-01,355.626,
1995-02,266.101,
1995-03,309.514,
1995-04,229.747,
1995-05,281.995,
1995-06,266.527,
1995-07,283.917,
1995-08,237.862,
1995-09,240.574,
1995-10,257.095,
1995-11,321.426,
1995-12,276.864,
1996-01,354.110,
1996-02,270.213,
1996-03,225.951,
1996-04,253.707,
1996-05,247.585,
1996-06,272.040,
1996-07,255.192,
1996-08,309.180,
1996-09,321.595,
1996-10,336.973,
1996-11,348.076,
1996-12,463.126,
1997-01,420.931,
1997-02,317.109,
1997-03,308.949,
1997-04,350.861,
1997-05,336.576,
1997-06,480.307,
1997-07,392.991,
1997-08,511.528,
1997-09,362.595,
1997-10,500.726,
1997-11,468.309,
1997-12,586.089,
1998-01,473.139,
1998-02,395.916,
1998-03,441.071,
1998-04,339.518,
1998-05,469.628,
1998-06,427.115,
1998-07,454.140,
1998-08,483.571,
1998-09,510.390,
1998-10,476.445,
1998-11,521.287,
1998-12,637.992,
1999-01,502.719,
1999-02,543.813,
1999-03,492.307,
1999-04,504.984,
1999-05,585.052,
1999-06,625.596,
1999-07,475.597,
1999-08,596.188,
1999-09,637.672,
1999-10,503.583,
1999-11,702.214,
1999-12,789.208,
2000-01,642.942,
2000-02,736.319,
2000-03,798.605,
2000-04,582.596,
2000-05,776.387,
2000-06,632.304,
2000-07,668.361,
2000-08,647.437,
2000-09,644.980,
2000-10,716.256,
2000-11,652.265,
2000-12,906.365,
2001-01,812.945,
2001-02,824.799,
2001-03,642.768,
2001-04,850.862,
2001-05,926.768,
2001-06,880.045,
2001-07,849.528,
2001-08,822.181,
2001-09,771.786,
2001-10,840.254,
2001-11,707.823,
2001-12,905.661,
2002-01,935.598,
2002-02,702.114,
2002-03,688.353,
2002-04,730.799,
2002-05,704.059,
2002-06,824.928,
2002-07,928.500,
2002-08,772.647,
2002-09,851.735,
2002-10,897.482,
2002-11,711.708,
2002-12,972.865,
2003-01,930.242,
2003-02,703.091,
2003-03,735.766,
2003-04,790.396,
2003-05,657.167,
2003-06,711.719,
2003-07,869.181,
2003-08,616.983,
2003-09,741.633,
2003-10,841.982,
2003-11,636.760,
2003-12,932.473,
2004-01,1003.509,
2004-02,749.687,
2004-03,711.957,
2004-04,766.064,
2004-05,733.354,
2004-06,731.497,
2004-07,727.808,
2004-08,715.037,
2004-09,684.952,
2004-10,801.438,
2004-11,775.836,
2004-12,879.293,
2005-01,893.223,
2005-02,829.909,
2005-03,737.550,
2005-04,820.342,
2005-05,773.190,
2005-06,820.845,
2005-07,808.691,
2005-08,826.095,
2005-09,801.788,
2005-10,745.076,
2005-11,845.294,
2005-12,991.858,
2006-01,1124.070,
2006-02,943.089,
2006-03,858.597,
2006-04,821.926,
2006-05,829.338,
2006-06,903.911,
2006-07,947.241,
2006-08,932.358,
2006-09,777.307,
2006-10,879.286,
2006-11,943.567,
2006-12,1147.336,
2007-01,1400.731,
2007-02,879.934,
2007-03,914.674,
2007-04,916.116,
2007-05,868.259,
2007-06,983.187,
2007-07,1125.897,
2007-08,936.864,
2007-09,1011.783,
2007-10,1050.289,
2007-11,942.949,
2007-12,1256.516,
2008-01,1437.217,
2008-02,918.453,
2008-03,848.733,
2008-04,1071.582,
2008-05,921.317,
2008-06,929.638,
2008-07,1214.688,
2008-08,886.873,
2008-09,1041.056,
2008-10,1194.097,
2008-11,1051.819,
2008-12,1344.862,
2009-01,1255.849,
2009-02,1035.485,
2009-03,964.086,
2009-04,1064.210,
2009-05,923.249,
2009-06,941.376,
2009-07,1230.101,
2009-08,895.576,
2009-09,795.541,
2009-10,903.038,
2009-11,975.842,
2009-12,1330.232,
2010-01,1458.778,
2010-02,1230.205,
2010-03,1035.358,
2010-04,1138.941,
2010-05,1046.053,
2010-06,1210.083,
2010-07,1409.309,
2010-08,1218.558,
2010-09,1184.388,
2010-10,1046.841,
2010-11,1367.984,
2010-12,1716.787,
2011-01,1585.684,
2011-02,1229.726,
2011-03,1366.385,
2011-04,1233.325,
2011-05,1323.122,
2011-06,1172.212,
2011-07,1350.553,
2011-08,1349.785,
2011-09,1215.836,
2011-10,1208.082,
2011-11,1445.626,
2011-12,1622.957,
2012-01,1920.029,
2012-02,1382.867,
2012-03,1416.883,
2012-04,1423.804,
2012-05,1618.569,
2012-06,1252.151,
2012-07,1710.157,
2012-08,1452.104,
2012-09,1351.534,
2012-10,1458.293,
2012-11,1424.636,
2012-12,1562.610,
2013-01,2099.531,
2013-02,2040.560,
2013-03,1911.937,
2013-04,1906.856,
2013-05,1854.557,
2013-06,1808.591,
2013-07,1699.338,
2013-08,1557.566,
2013-09,1582.383,
2013-10,1670.861,
2013-11,1736.156,
2013-12,2234.301,
2014-01,1754.950,
2014-02,1652.410,Provisional value
2014-03,1409.449,Provisional value
2014-04,1556.904,Provisional value
2014-05,1741.615,Provisional value
2014-06,1694.491,Provisional value
2014-07,1916.011,Provisional value
2014-08,1357.635,Provisional value
2014-09,1487.881,
2014-10,1517.113,
2014-11,1409.662,
2014-12,1898.502,Provisional value
