"",BBK01.CEHB10,BBK01.CEHB10_FLAGS
"",Long-term debt securities debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:28,
1991-01,-5.9,
1991-04,1.7,
1991-07,2.0,
1991-10,1.8,
1992-01,1.7,
1992-04,2.5,
1992-07,5.7,
1992-10,7.6,
1993-01,13.9,
1993-04,12.0,
1993-07,6.2,
1993-10,17.5,
1994-01,7.6,
1994-04,6.7,
1994-07,10.7,
1994-10,24.3,
1995-01,-79.7,
1995-04,0.0,
1995-07,0.0,
1995-10,-3.0,
1996-01,-1.2,
1996-04,-0.2,
1996-07,-1.7,
1996-10,-1.3,
1997-01,-1.0,
1997-04,0.1,
1997-07,-1.0,
1997-10,-2.1,
1998-01,0.3,
1998-04,-1.0,
1998-07,0.9,
1998-10,-3.3,
1999-01,-1.7,
1999-04,-0.6,
1999-07,0.2,
1999-10,-1.0,
2000-01,0.2,
2000-04,0.5,
2000-07,1.8,
2000-10,0.7,
2001-01,0.7,
2001-04,0.7,
2001-07,1.6,
2001-10,0.3,
2002-01,1.0,
2002-04,6.2,
2002-07,1.3,
2002-10,-2.1,
2003-01,7.1,
2003-04,7.2,
2003-07,2.2,
2003-10,-0.6,
2004-01,-1.7,
2004-04,1.3,
2004-07,10.0,
2004-10,-0.1,
2005-01,2.5,
2005-04,0.8,
2005-07,3.4,
2005-10,3.4,
2006-01,2.0,
2006-04,4.8,
2006-07,0.0,
2006-10,-2.3,
2007-01,-0.9,
2007-04,-1.7,
2007-07,-1.1,
2007-10,-2.2,
2008-01,-1.8,
2008-04,0.9,
2008-07,0.9,
2008-10,3.4,
2009-01,4.5,
2009-04,7.4,
2009-07,5.7,
2009-10,5.0,
2010-01,6.6,
2010-04,-1.5,
2010-07,-1.7,
2010-10,1.1,
2011-01,1.7,
2011-04,0.2,
2011-07,1.5,
2011-10,-0.8,
2012-01,6.6,
2012-04,0.2,
2012-07,7.8,
2012-10,5.8,
2013-01,3.8,
2013-04,4.2,
2013-07,0.8,
2013-10,5.1,
2014-01,3.9,
