"",BBK01.OUP002,BBK01.OUP002_FLAGS
"",Lending to banks / Securities issued by banks / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:44:43,
1985-12,4.598,
1986-01,5.140,
1986-02,5.218,
1986-03,5.378,
1986-04,5.333,
1986-05,5.059,
1986-06,5.266,
1986-07,5.469,
1986-08,5.719,
1986-09,5.632,
1986-10,5.325,
1986-11,5.464,
1986-12,5.389,
1987-01,5.696,
1987-02,5.530,
1987-03,5.715,
1987-04,5.684,
1987-05,5.632,
1987-06,5.274,
1987-07,5.282,
1987-08,5.360,
1987-09,5.314,
1987-10,5.452,
1987-11,5.563,
1987-12,5.650,
1988-01,5.647,
1988-02,5.724,
1988-03,5.326,
1988-04,5.194,
1988-05,5.030,
1988-06,4.956,
1988-07,4.932,
1988-08,5.154,
1988-09,5.200,
1988-10,5.422,
1988-11,5.416,
1988-12,5.183,
1989-01,5.248,
1989-02,5.306,
1989-03,5.299,
1989-04,5.239,
1989-05,5.322,
1989-06,5.766,
1989-07,6.311,
1989-08,6.144,
1989-09,6.078,
1989-10,6.299,
1989-11,6.036,
1989-12,5.631,
1990-01,6.007,
1990-02,6.092,
1990-03,5.842,
1990-04,5.588,
1990-05,5.602,
1990-06,5.363,
1990-07,5.499,
1990-08,5.507,
1990-09,5.746,
1990-10,5.882,
1990-11,5.770,
1990-12,5.743,
1991-01,5.812,
1991-02,6.034,
1991-03,6.154,
1991-04,7.006,
1991-05,6.663,
1991-06,6.510,
1991-07,6.476,
1991-08,6.471,
1991-09,6.306,
1991-10,6.274,
1991-11,6.518,
1991-12,6.668,
1992-01,6.758,
1992-02,6.818,
1992-03,6.810,
1992-04,6.835,
1992-05,6.751,
1992-06,6.897,
1992-07,6.932,
1992-08,6.941,
1992-09,7.285,
1992-10,7.554,
1992-11,7.389,
1992-12,8.773,
1993-01,9.231,
1993-02,9.615,
1993-03,10.101,
1993-04,10.245,
1993-05,10.298,
1993-06,10.540,
1993-07,10.177,
1993-08,9.909,
1993-09,10.157,
1993-10,10.604,
1993-11,10.897,
1993-12,12.346,
1994-01,13.132,
1994-02,12.842,
1994-03,12.567,
1994-04,12.878,
1994-05,12.450,
1994-06,11.924,
1994-07,12.228,
1994-08,11.901,
1994-09,11.579,
1994-10,11.394,
1994-11,11.650,
1994-12,11.415,
1995-01,11.254,
