"",BBK01.OEAJ04K,BBK01.OEAJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:18,
2002-01,3.966,
2002-04,3.826,
2002-07,4.055,
2002-10,4.815,
2003-01,4.340,
2003-04,4.595,
2003-07,4.864,
2003-10,5.109,
2004-01,4.745,
2004-04,4.480,
2004-07,5.351,
2004-10,4.291,
2005-01,4.098,
2005-04,3.902,
2005-07,4.158,
2005-10,4.080,
2006-01,4.331,
2006-04,4.579,
2006-07,4.437,
2006-10,4.495,
2007-01,5.612,
2007-04,5.023,
2007-07,6.034,
2007-10,6.145,
2008-01,5.976,
2008-04,6.505,
2008-07,6.994,
2008-10,6.659,
2009-01,6.806,
2009-04,6.120,
2009-07,5.126,
2009-10,5.254,
2010-01,5.278,
2010-04,5.523,
2010-07,5.499,
2010-10,6.411,
2011-01,5.522,
2011-04,6.186,
2011-07,6.677,
2011-10,6.206,
2012-01,6.045,
2012-04,5.922,
2012-07,5.753,
2012-10,5.421,
2013-01,5.819,
2013-04,4.812,
2013-07,4.132,
2013-10,4.390,
2014-01,4.556,
2014-04,4.312,
2014-07,4.275,
