"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:40,
1991-01,3022.250,
1991-04,1493.782,
1991-07,1090.614,
1991-10,2203.422,
1992-01,2144.445,
1992-04,382.679,
1992-07,3710.025,
1992-10,651.275,
1993-01,2855.559,
1993-04,193.231,
1993-07,1365.905,
1993-10,1292.295,
1994-01,1249.557,
1994-04,3563.519,
1994-07,2616.809,
1994-10,2464.404,
1995-01,445.332,
1995-04,490.494,
1995-07,2674.116,
1995-10,1196.469,
1996-01,2120.280,
1996-04,318.611,
1996-07,1253.130,
1996-10,4286.682,
1997-01,-911.866,
1997-04,1645.165,
1997-07,1607.659,
1997-10,6989.905,
1998-01,3441.422,
1998-04,6118.200,
1998-07,-2045.616,
1998-10,3773.845,
1999-01,2955.238,
1999-04,-3822.153,
1999-07,3689.476,
1999-10,5372.953,
2000-01,1220.961,
2000-04,6388.741,
2000-07,2429.910,
2000-10,5516.686,
2001-01,1059.412,
2001-04,3060.486,
2001-07,-433.838,
2001-10,7979.605,
2002-01,-4162.714,
2002-04,7975.888,
2002-07,1377.177,
2002-10,1044.119,
2003-01,9092.836,
2003-04,2034.588,
2003-07,2728.135,
2003-10,9511.115,
2004-01,12121.904,
2004-04,-1827.566,
2004-07,1989.861,
2004-10,2963.061,
2005-01,3194.535,
2005-04,2545.904,
2005-07,7327.807,
2005-10,2328.141,
2006-01,2815.912,
2006-04,6297.917,
2006-07,4814.521,
2006-10,11787.359,
2007-01,8638.635,
2007-04,23538.418,
2007-07,-878.549,
2007-10,10103.275,
2008-01,6221.612,
2008-04,16014.888,
2008-07,-4648.959,
2008-10,-8242.946,
2009-01,-15203.940,
2009-04,5032.194,
2009-07,3872.854,
2009-10,4023.055,
2010-01,1648.574,
2010-04,3612.980,
2010-07,-9234.856,
2010-10,540.849,
2011-01,612.985,
2011-04,-4019.961,
2011-07,14298.056,
2011-10,15106.817,
2012-01,-7442.403,
2012-04,65082.046,
2012-07,-21971.750,
2012-10,-6396.580,
2013-01,-4620.532,
2013-04,-2330.602,
2013-07,3898.383,
2013-10,1397.313,
2014-01,-22144.693,Provisional value
2014-04,8494.091,Provisional value
2014-07,-14588.073,Provisional value
2014-10,5696.424,Provisional value
