"",BBK01.OEAH42G,BBK01.OEAH42G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:21,
2002-01,0.290,
2002-04,0.256,
2002-07,0.252,
2002-10,0.250,
2003-01,0.246,
2003-04,0.219,
2003-07,0.214,
2003-10,0.204,
2004-01,0.292,
2004-04,0.244,
2004-07,0.223,
2004-10,0.169,
2005-01,0.165,
2005-04,0.160,
2005-07,0.155,
2005-10,0.147,
2006-01,0.139,
2006-04,0.138,
2006-07,0.133,
2006-10,0.125,
2007-01,0.121,
2007-04,0.113,
2007-07,0.108,
2007-10,0.098,
2008-01,0.091,
2008-04,0.086,
2008-07,0.079,
2008-10,0.073,
2009-01,0.069,
2009-04,0.064,
2009-07,0.044,
2009-10,0.089,
2010-01,0.086,
2010-04,0.084,
2010-07,0.070,
2010-10,0.068,
2011-01,0.063,
2011-04,0.027,
2011-07,0.023,
2011-10,0.023,
2012-01,0.023,
2012-04,0.023,
2012-07,0.012,
2012-10,0.009,
2013-01,0.007,
2013-04,0.016,
2013-07,0.009,
2013-10,0.009,
2014-01,0.019,
2014-04,0.018,
2014-07,0.018,
