"",BBK01.OEBL08H,BBK01.OEBL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:57,
2002-01,11.366,
2002-04,10.418,
2002-07,10.367,
2002-10,10.939,
2003-01,11.895,
2003-04,12.583,
2003-07,14.138,
2003-10,14.843,
2004-01,15.376,
2004-04,16.175,
2004-07,16.889,
2004-10,17.661,
2005-01,24.076,
2005-04,24.563,
2005-07,24.638,
2005-10,24.579,
2006-01,23.990,
2006-04,23.228,
2006-07,22.003,
2006-10,21.389,
2007-01,20.973,
2007-04,20.504,
2007-07,19.717,
2007-10,19.765,
2008-01,19.383,
2008-04,19.338,
2008-07,18.648,
2008-10,18.743,
2009-01,20.747,
2009-04,21.811,
2009-07,22.701,
2009-10,23.655,
2010-01,24.288,
2010-04,24.167,
2010-07,24.521,
2010-10,25.340,
2011-01,25.474,
2011-04,24.703,
2011-07,24.408,
2011-10,25.508,
2012-01,27.224,
2012-04,26.717,
2012-07,26.803,
2012-10,27.475,
2013-01,27.365,
2013-04,26.765,
2013-07,26.032,
2013-10,25.587,
2014-01,24.928,
2014-04,24.640,
2014-07,24.704,
