"",BBK01.OEAC38M,BBK01.OEAC38M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:45,
2002-01,0.284,
2002-04,0.283,
2002-07,0.284,
2002-10,0.318,
2003-01,0.422,
2003-04,0.447,
2003-07,0.451,
2003-10,0.400,
2004-01,0.431,
2004-04,0.334,
2004-07,0.312,
2004-10,0.288,
2005-01,0.319,
2005-04,0.347,
2005-07,0.526,
2005-10,0.536,
2006-01,0.548,
2006-04,0.560,
2006-07,0.643,
2006-10,0.620,
2007-01,0.694,
2007-04,0.694,
2007-07,1.528,
2007-10,1.538,
2008-01,1.213,
2008-04,1.234,
2008-07,1.216,
2008-10,0.487,
2009-01,0.383,
2009-04,0.441,
2009-07,0.536,
2009-10,0.543,
2010-01,1.330,
2010-04,1.448,
2010-07,1.550,
2010-10,1.612,
2011-01,1.678,
2011-04,1.809,
2011-07,1.862,
2011-10,1.908,
2012-01,1.900,
2012-04,1.945,
2012-07,2.113,
2012-10,2.139,
2013-01,2.069,
2013-04,2.021,
2013-07,2.057,
2013-10,2.063,
2014-01,2.083,
2014-04,2.146,
2014-07,1.955,
