"",BBK01.OEAP03I,BBK01.OEAP03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:48,
2002-01,4.352,
2002-04,3.899,
2002-07,3.919,
2002-10,3.681,
2003-01,3.391,
2003-04,3.399,
2003-07,3.594,
2003-10,3.048,
2004-01,2.395,
2004-04,2.557,
2004-07,2.856,
2004-10,2.097,
2005-01,1.998,
2005-04,1.824,
2005-07,1.901,
2005-10,1.677,
2006-01,1.626,
2006-04,1.736,
2006-07,1.620,
2006-10,1.559,
2007-01,1.555,
2007-04,1.776,
2007-07,1.631,
2007-10,1.911,
2008-01,2.201,
2008-04,2.083,
2008-07,1.810,
2008-10,1.600,
2009-01,1.142,
2009-04,0.935,
2009-07,1.264,
2009-10,1.295,
2010-01,0.963,
2010-04,0.622,
2010-07,0.604,
2010-10,0.641,
2011-01,0.497,
2011-04,0.571,
2011-07,0.677,
2011-10,0.568,
2012-01,0.585,
2012-04,0.677,
2012-07,0.492,
2012-10,0.433,
2013-01,0.535,
2013-04,0.537,
2013-07,0.400,
2013-10,0.384,
2014-01,0.387,
2014-04,0.359,
2014-07,0.355,
