"",BBK01.OEYB10I,BBK01.OEYB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:41,
2002-01,2.436,
2002-04,2.229,
2002-07,2.129,
2002-10,1.966,
2003-01,1.774,
2003-04,1.862,
2003-07,2.388,
2003-10,2.345,
2004-01,2.227,
2004-04,2.046,
2004-07,2.193,
2004-10,2.201,
2005-01,2.110,
2005-04,2.135,
2005-07,2.222,
2005-10,1.969,
2006-01,2.554,
2006-04,2.192,
2006-07,4.281,
2006-10,3.998,
2007-01,3.417,
2007-04,3.344,
2007-07,3.488,
2007-10,5.270,
2008-01,7.609,
2008-04,7.385,
2008-07,8.616,
2008-10,7.011,
2009-01,7.472,
2009-04,7.911,
2009-07,7.652,
2009-10,8.992,
2010-01,9.241,
2010-04,8.600,
2010-07,5.282,
2010-10,6.724,
2011-01,7.069,
2011-04,8.773,
2011-07,10.874,
2011-10,6.268,
2012-01,10.107,
2012-04,11.264,
2012-07,9.005,
2012-10,5.840,
2013-01,6.815,
2013-04,9.296,
2013-07,1.878,
2013-10,1.984,
2014-01,2.747,
2014-04,2.491,
2014-07,2.077,
