"",BBEX3.M.ZAR.USD.CA.AA.A01,BBEX3.M.ZAR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in South Africa * / USD 1 = ZAR ... (buying),
unit,ZAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:26,
1988-01,1.9736,
1988-02,2.0760,
1988-03,2.1115,
1988-04,2.1385,
1988-05,2.2235,
1988-06,2.3035,
1988-07,2.4345,
1988-08,2.4385,
1988-09,2.4875,
1988-10,2.4795,
1988-11,2.2885,
1988-12,2.3700,
1989-01,2.3930,
1989-02,2.4770,
1989-03,2.5485,
1989-04,2.5525,
1989-05,2.7743,
1989-06,2.7710,
1989-07,2.6385,
1989-08,2.7590,
1989-09,2.6805,
1989-10,2.6245,
1989-11,2.5980,
1989-12,2.5423,
1990-01,2.5490,
1990-02,2.5445,
1990-03,2.6445,
1990-04,2.6530,
1990-05,2.6420,
1990-06,2.6485,
1990-07,2.6045,
1990-08,2.5605,
1990-09,2.5555,
1990-10,2.5340,
1990-11,2.5100,
1990-12,2.5490,
1991-01,2.5295,
1991-02,2.5550,
1991-03,2.7210,
1991-04,2.7770,
1991-05,2.7950,
1991-06,2.8780,
1991-07,2.8555,
1991-08,2.8630,
1991-09,2.7935,
1991-10,2.8215,
1991-11,2.7918,
1991-12,2.7310,
1992-01,2.7910,
1992-02,2.8335,
1992-03,2.8655,
1992-04,2.8645,
1992-05,2.8210,
1992-06,2.7600,
1992-07,2.7545,
1992-08,2.7275,
1992-09,2.8015,
1992-10,2.9470,
1992-11,2.9886,
1992-12,3.0423,
1993-01,3.0635,
1993-02,3.1310,
1993-03,3.1712,
1993-04,3.1485,
1993-05,3.1675,
1993-06,3.3135,
1993-07,3.3685,
1993-08,3.3680,
1993-09,3.4255,
1993-10,3.3455,
1993-11,3.3545,
1993-12,3.3875,
1994-01,3.4115,
1994-02,3.4625,
1994-03,3.4700,
1994-04,3.5135,
1994-05,3.6255,
1994-06,3.6400,
1994-07,3.6615,
1994-08,3.5685,
1994-09,3.5560,
1994-10,3.4825,
1994-11,3.5420,
1994-12,3.5330,
1995-01,3.5235,
1995-02,3.5875,
1995-03,3.5795,
1995-04,3.6075,
1995-05,3.6700,
1995-06,3.6255,
1995-07,3.6085,
1995-08,3.6475,
1995-09,3.6390,
1995-10,3.6375,
1995-11,3.6530,
1995-12,3.6360,
1996-01,3.6505,
1996-02,3.8580,
1996-03,3.9815,
1996-04,4.3700,
1996-05,4.3550,
1996-06,4.3270,
1996-07,4.4980,
1996-08,4.4845,
1996-09,4.5310,
1996-10,4.7030,
1996-11,4.5995,
1996-12,4.6760,
1997-01,4.5585,
1997-02,4.4760,
1997-03,4.4220,
1997-04,4.4450,
1997-05,4.4700,
1997-06,4.5340,
1997-07,4.6100,
1997-08,4.6910,
1997-09,4.6510,
1997-10,4.8125,
1997-11,4.8500,
1997-12,4.8640,
1998-01,4.9315,
1998-02,4.9410,
1998-03,5.0330,
1998-04,5.0535,
1998-05,5.1545,
1998-06,5.9700,
1998-07,6.1200,
1998-08,6.5150,
1998-09,5.9400,
1998-10,5.5800,
1998-11,5.6930,
1998-12,5.8855,
1999-01,6.0575,
1999-02,6.1855,
1999-03,6.1515,
1999-04,6.0680,
1999-05,6.2200,
1999-06,6.0150,
1999-07,6.1725,
1999-08,6.0845,
1999-09,6.0050,
1999-10,6.1400,
1999-11,6.1750,
1999-12,6.1465,
