"",BBEX3.M.LAK.EUR.CA.AB.A01,BBEX3.M.LAK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Lao People?s Democratic Republic  / EUR 1 = LAK ... (selling),
unit,LAK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:44,
1999-01,5298.01,comment
1999-02,5065.60,comment
1999-03,6005.02,
1999-04,7310.66,
1999-05,8675.25,
1999-06,9973.46,
1999-07,10067.59,
1999-08,10007.16,
1999-09,7523.21,
1999-10,8463.00,
1999-11,8135.52,
1999-12,7910.72,
2000-01,7796.50,
2000-02,7484.98,
2000-03,7531.75,
2000-04,7223.29,
2000-05,7249.10,
2000-06,7540.00,
2000-07,7673.28,
2000-08,7365.93,
2000-09,7022.97,
2000-10,6952.23,
2000-11,7125.95,
2000-12,7769.66,
2001-01,7923.96,
2001-02,7713.44,
2001-03,7705.71,
2001-04,7844.60,
2001-05,7461.18,
2001-06,7587.72,
2001-07,8181.98,
2001-08,8533.47,
2001-09,9021.44,
2001-10,8825.14,
2001-11,8584.68,
2001-12,8744.68,
2002-01,8592.08,
2002-02,8520.46,
2002-03,8512.41,
2002-04,8555.61,
2002-05,8970.38,
2002-06,9939.93,
2002-07,10664.34,
2002-08,10512.04,
2002-09,10964.58,
2002-10,10678.63,
2002-11,10804.97,
2002-12,11118.06,
2003-01,11525.74,
2003-02,11583.35,
2003-03,11366.00,
2003-04,11836.00,
2003-05,12488.00,
2003-06,12106.00,
2003-07,12096.00,
2003-08,11579.00,
2003-09,12208.00,
2003-10,11869.05,
2003-11,12177.00,
2003-12,12683.00,
2004-01,13032.00,
2004-02,13146.00,
2004-03,12984.00,
2004-04,12748.00,
2004-05,13045.00,
2004-06,13219.00,
2004-07,13236.00,
2004-08,13353.00,
2004-09,13567.00,
2004-10,13840.00,
2004-11,14258.00,
2004-12,14364.00,
2005-01,14011.00,
2005-02,13409.00,
2005-03,13624.00,
2005-04,13818.00,
2005-05,13452.00,
2005-06,13188.00,
2005-07,13294.00,
2005-08,13439.00,
2005-09,13288.00,
2005-10,13122.00,
2005-11,12830.00,
2005-12,12964.00,
2006-01,12859.00,
2006-02,12617.00,
2006-03,12869.00,
2006-04,12931.00,
2006-05,13301.00,
2006-06,13177.00,
2006-07,13188.00,
2006-08,13231.00,
2006-09,13063.00,
2006-10,12904.00,
2006-11,13243.00,
2006-12,13056.00,
2007-01,12879.00,
2007-02,13167.00,
2007-03,13211.00,
2007-04,13479.00,
2007-05,13236.00,
2007-06,13288.00,
2007-07,13456.00,
2007-08,12763.00,
2007-09,12963.00,
2007-10,13096.00,
2007-11,13193.00,
2007-12,13313.00,
2008-01,13199.00,
2008-02,13614.00,
2008-03,13769.00,
2008-04,13611.00,
2008-05,13480.00,
2008-06,13752.00,
2008-07,13427.00,
2008-08,12746.00,
2008-09,12330.00,
2008-10,11020.00,
2008-11,11064.00,
2008-12,11945.00,
2009-01,10953.00,
2009-02,10797.00,
2009-03,11225.00,
2009-04,11420.00,
2009-05,11911.00,
2009-06,12058.00,
2009-07,12018.00,
2009-08,12209.00,
2009-09,12448.00,
2009-10,12613.00,
2009-11,12741.00,
2009-12,12182.00,
2010-01,11839.00,
2010-02,11539.00,
2010-03,11361.00,
2010-04,10983.00,
2010-05,10208.00,
2010-06,10058.00,
2010-07,10765.00,
2010-08,10364.00,
2010-09,11087.00,
2010-10,11128.00,
2010-11,10585.00,
2010-12,10749.00,
2011-01,10978.00,
2011-02,11075.00,
2011-03,11391.00,
2011-04,11920.00,
2011-05,11550.00,
2011-06,11615.00,
2011-07,11470.00,
2011-08,11561.00,
2011-09,10908.00,
2011-10,11362.00,
2011-11,10715.00,
2011-12,10396.00,
2012-01,10541.00,
2012-02,10762.00,
2012-03,10681.00,
2012-04,10585.00,
2012-05,9948.00,
2012-06,9999.00,
2012-07,9837.00,
2012-08,10046.00,
2012-09,10351.00,
2012-10,10387.00,
2012-11,10374.00,
2012-12,10579.00,
2013-01,10788.00,
2013-02,10389.00,
2013-03,9986.00,
2013-04,10032.00,
2013-05,10044.00,
2013-06,10125.00,
2013-07,10342.00,
2013-08,10397.00,
2013-09,10604.00,
2013-10,10861.00,
2013-11,10901.00,
2013-12,11054.00,
2014-01,10893.00,
2014-02,11027.00,
2014-03,11085.00,
2014-04,11132.00,
2014-05,10979.00,
2014-06,10986.00,
2014-07,10794.00,
2014-08,10614.00,
2014-09,10221.00,
2014-10,10153.00,
2014-11,10039.00,
2014-12,9836.00,
2015-01,9193.00,
2015-02,9091.00,
"",General: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"","Source: Banque pour le Commerce Exterieur Lao, Vientiane.",
"",Comment on 1999-01: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 1999-02: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
