"",BBK01.CEBFQ2,BBK01.CEBFQ2_FLAGS
"",longer-term loans (consolidated) debtor:All sectors                    creditor:  Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:22,
1991-01,1362.6,
1991-04,1388.7,
1991-07,1427.5,
1991-10,1470.8,
1992-01,1498.4,
1992-04,1521.1,
1992-07,1551.4,
1992-10,1572.4,
1993-01,1598.0,
1993-04,1637.8,
1993-07,1674.7,
1993-10,1733.8,
1994-01,1759.1,
1994-04,1786.1,
1994-07,1816.1,
1994-10,1841.3,
1995-01,1848.3,
1995-04,1880.7,
1995-07,1931.6,
1995-10,1992.8,
1996-01,2024.8,
1996-04,2048.3,
1996-07,2087.3,
1996-10,2143.7,
1997-01,2166.1,
1997-04,2204.9,
1997-07,2243.8,
1997-10,2299.0,
1998-01,2326.9,
1998-04,2352.6,
1998-07,2379.8,
1998-10,2448.7,
1999-01,2472.4,
1999-04,2522.7,
1999-07,2560.9,
1999-10,2620.1,
2000-01,2638.5,
2000-04,2672.4,
2000-07,2698.0,
2000-10,2722.9,
2001-01,2735.3,
2001-04,2752.4,
2001-07,2766.7,
2001-10,2793.0,
2002-01,2795.5,
2002-04,2786.2,
2002-07,2787.2,
2002-10,2808.6,
2003-01,2799.4,
2003-04,2794.4,
2003-07,2801.9,
2003-10,2813.1,
2004-01,2809.9,
2004-04,2820.5,
2004-07,2825.8,
2004-10,2825.3,
2005-01,2818.5,
2005-04,2831.4,
2005-07,2843.6,
2005-10,2846.2,
2006-01,2854.5,
2006-04,2857.2,
2006-07,2865.8,
2006-10,2859.5,
2007-01,2852.9,
2007-04,2868.6,
2007-07,2882.3,
2007-10,2884.4,
2008-01,2901.5,
2008-04,2940.8,
2008-07,2986.0,
2008-10,3003.2,
2009-01,2998.9,
2009-04,3008.3,
2009-07,3019.1,
2009-10,3033.1,
2010-01,3034.3,
2010-04,3063.6,
2010-07,3056.1,
2010-10,3038.8,
2011-01,3024.8,
2011-04,3021.5,
2011-07,3056.3,
2011-10,3101.5,
2012-01,3095.2,
2012-04,3109.3,
2012-07,3114.8,
2012-10,3110.7,
2013-01,3115.1,
2013-04,3116.2,
2013-07,3106.3,
2013-10,3105.7,
2014-01,3087.6,
