"",BBK01.OXA8B4,BBK01.OXA8B4_FLAGS
"",Loans (including bills of exchange) to domestic house holds - Other loans,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:44,
2002-12,296.122,
2003-01,303.081,
2003-02,308.142,
2003-03,295.506,
2003-04,296.914,
2003-05,295.880,
2003-06,295.220,
2003-07,294.947,
2003-08,309.317,
2003-09,323.349,
2003-10,319.586,
2003-11,318.316,
2003-12,318.538,
2004-01,315.324,
2004-02,315.226,
2004-03,319.217,
2004-04,318.329,
2004-05,317.507,
2004-06,314.317,
2004-07,313.342,
2004-08,312.284,
2004-09,311.381,
2004-10,311.058,
2004-11,308.500,
2004-12,312.035,
2005-01,309.385,
2005-02,308.140,
2005-03,307.174,
2005-04,308.355,
2005-05,308.169,
2005-06,307.390,
2005-07,306.289,
2005-08,306.258,
2005-09,306.411,
2005-10,304.924,
2005-11,304.979,
2005-12,306.548,
2006-01,304.922,
2006-02,304.107,
2006-03,302.475,
2006-04,301.531,
2006-05,300.564,
2006-06,300.492,
2006-07,298.634,
2006-08,297.276,
2006-09,298.499,
2006-10,297.077,
2006-11,296.957,
2006-12,295.016,
2007-01,291.842,
2007-02,291.459,
2007-03,291.625,
2007-04,289.770,
2007-05,288.909,
2007-06,289.134,
2007-07,287.402,
2007-08,286.286,
2007-09,285.954,
2007-10,283.851,
2007-11,283.506,
2007-12,283.576,
2008-01,281.313,
2008-02,280.820,
2008-03,280.485,
2008-04,279.585,
2008-05,278.398,
2008-06,279.506,
2008-07,278.037,
2008-08,277.656,
2008-09,277.554,
2008-10,277.314,
2008-11,277.065,
2008-12,277.384,
2009-01,275.391,
2009-02,275.537,
2009-03,274.468,
2009-04,274.825,
2009-05,275.212,
2009-06,275.584,
2009-07,274.507,
2009-08,274.502,
2009-09,274.211,
2009-10,273.093,
2009-11,273.647,
2009-12,273.224,
2010-01,272.101,
2010-02,272.130,
2010-03,272.827,
2010-04,271.171,
2010-05,270.796,
2010-06,268.470,
2010-07,267.990,
2010-08,268.986,
2010-09,269.463,
2010-10,267.809,
2010-11,268.047,
2010-12,268.037,
2011-01,267.734,
2011-02,267.621,
2011-03,267.418,
2011-04,266.231,
2011-05,266.552,
2011-06,267.737,
2011-07,266.819,
2011-08,268.844,
2011-09,270.487,
2011-10,269.229,
2011-11,271.005,
2011-12,268.209,
2012-01,267.552,
2012-02,267.850,
2012-03,268.196,
2012-04,269.670,
2012-05,270.435,
2012-06,270.992,
2012-07,270.627,
2012-08,270.733,
2012-09,271.476,
2012-10,271.104,
2012-11,272.535,
2012-12,271.490,
2013-01,269.995,
2013-02,270.714,
2013-03,270.429,
2013-04,270.011,
2013-05,269.738,
2013-06,269.940,
2013-07,269.077,
2013-08,269.208,
2013-09,271.857,
2013-10,271.254,
2013-11,271.634,
2013-12,270.632,
2014-01,269.746,
2014-02,270.079,
2014-03,269.270,
2014-04,269.211,
2014-05,269.803,
2014-06,269.905,
2014-07,269.077,
2014-08,269.193,
2014-09,268.863,
2014-10,268.017,
2014-11,269.130,
2014-12,269.196,Provisional value
